symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-24T11:30:00+00:00,2025-07-24T16:30:00+00:00,11,16,forex_breakout_momentum,trailing_stop,146.54687,146.53613,0.10000,-107.82170,0.50000,10,1.00000,{'breakout_high': 146.486}
C:USDJPY,2025-07-28T09:00:00+00:00,2025-07-28T15:00:00+00:00,9,15,forex_breakout_momentum,trailing_stop,148.13791,148.11109,0.10000,-268.71638,0.50000,12,1.00000,{'breakout_high': 148.017}
C:USDJPY,2025-07-31T12:00:00+00:00,2025-07-31T15:30:00+00:00,12,15,forex_breakout_momentum,take_profit,149.77596,150.17703,0.10000,4010.23692,0.50000,7,1.00000,{'breakout_high': 149.717}
C:USDJPY,2025-08-06T11:00:00+00:00,2025-08-06T13:30:00+00:00,11,13,forex_breakout_momentum,structure_exit,147.78090,147.57010,0.10000,-2108.46261,0.50000,5,1.00000,{'breakout_high': 147.748}
C:USDJPY,2025-08-08T11:30:00+00:00,2025-08-08T21:00:00+00:00,11,21,forex_breakout_momentum,time_stop,147.65390,147.64010,0.10000,-138.44650,0.50000,19,1.00000,{'breakout_high': 147.451}
C:USDJPY,2025-08-21T09:00:00+00:00,2025-08-21T14:00:00+00:00,9,14,forex_breakout_momentum,take_profit,147.51989,147.85010,0.10000,3301.53202,0.50000,10,1.00000,{'breakout_high': 147.503}
C:USDJPY,2025-08-29T09:30:00+00:00,2025-08-29T11:00:00+00:00,9,11,forex_breakout_momentum,structure_exit,147.16488,146.94312,0.10000,-2218.11136,0.50000,3,1.00000,{'breakout_high': 147.107}
C:USDJPY,2025-09-11T08:30:00+00:00,2025-09-11T11:30:00+00:00,8,11,forex_breakout_momentum,take_profit,147.58390,147.83810,0.10000,2541.51732,0.50000,6,1.00000,{'breakout_high': 147.478}
C:USDJPY,2025-09-17T10:00:00+00:00,2025-09-17T11:30:00+00:00,10,11,forex_breakout_momentum,structure_exit,146.62987,146.44214,0.10000,-1877.81859,0.50000,3,1.00000,{'breakout_high': 146.604}
C:USDJPY,2025-09-24T09:00:00+00:00,2025-09-24T14:00:00+00:00,9,14,forex_breakout_momentum,take_profit,148.04791,148.46408,0.10000,4161.20930,0.50000,10,1.00000,{'breakout_high': 147.961}
C:USDJPY,2025-10-09T09:00:00+00:00,2025-10-09T12:30:00+00:00,9,12,forex_breakout_momentum,structure_exit,152.99705,152.54496,0.10000,-4521.34247,0.50000,7,1.00000,{'breakout_high': 152.763}
C:USDJPY,2025-10-13T10:00:00+00:00,2025-10-13T19:00:00+00:00,10,19,forex_breakout_momentum,time_stop,152.28603,152.23597,0.10000,-501.05423,0.50000,18,1.00000,{'breakout_high': 152.085}
C:USDJPY,2025-10-16T12:00:00+00:00,2025-10-16T13:00:00+00:00,12,13,forex_breakout_momentum,stop_loss,151.40000,151.18700,0.10000,-2130.50742,0.50000,2,1.00000,{'breakout_high': 151.376}
C:USDJPY,2025-10-27T08:00:00+00:00,2025-10-27T09:00:00+00:00,8,9,forex_breakout_momentum,stop_loss,153.24106,152.99395,0.10000,-2471.53830,0.50000,2,1.00000,{'breakout_high': 153.176}
C:USDJPY,2025-10-29T08:00:00+00:00,2025-10-29T10:00:00+00:00,8,10,forex_breakout_momentum,structure_exit,152.45503,152.02098,0.10000,-4341.04123,0.50000,4,1.00000,{'breakout_high': 152.193}
C:USDJPY,2025-10-31T09:30:00+00:00,2025-10-31T17:30:00+00:00,9,17,forex_breakout_momentum,stop_loss,154.23308,153.93492,0.10000,-2982.08454,0.50000,16,1.00000,{'breakout_high': 154.164}
C:USDJPY,2025-11-07T08:00:00+00:00,2026-04-07T17:30:00+00:00,8,17,forex_breakout_momentum,end_of_run,153.48306,159.94575,0.10000,64626.42876,0.50000,4844,1.00000,{'breakout_high': 153.364}
