symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-24T11:30:00+00:00,2025-07-24T16:30:00+00:00,11,16,forex_breakout_momentum,trailing_stop,146.54983,146.53317,0.01000,-16.71321,0.05000,10,1.00000,{'breakout_high': 146.486}
C:USDJPY,2025-07-28T09:00:00+00:00,2025-07-28T14:30:00+00:00,9,14,forex_breakout_momentum,trailing_stop,148.14089,148.12811,0.01000,-12.83348,0.05000,11,1.00000,{'breakout_high': 148.017}
C:USDJPY,2025-07-31T12:00:00+00:00,2025-07-31T16:00:00+00:00,12,16,forex_breakout_momentum,take_profit,149.77895,150.32703,0.01000,548.02168,0.05000,8,1.00000,{'breakout_high': 149.717}
C:USDJPY,2025-08-06T11:00:00+00:00,2025-08-06T14:00:00+00:00,11,14,forex_breakout_momentum,stop_loss,147.78388,147.48213,0.01000,-301.79562,0.05000,6,1.00000,{'breakout_high': 147.748}
C:USDJPY,2025-08-08T11:30:00+00:00,2025-08-11T00:30:00+00:00,11,0,forex_breakout_momentum,stale_breakout,147.65687,147.53513,0.01000,-121.79282,0.05000,24,1.00000,{'breakout_high': 147.451}
C:USDJPY,2025-08-21T09:00:00+00:00,2025-08-21T16:00:00+00:00,9,16,forex_breakout_momentum,trailing_stop,147.52287,147.65613,0.01000,133.20767,0.05000,14,1.00000,{'breakout_high': 147.503}
C:USDJPY,2025-08-29T09:30:00+00:00,2025-08-29T11:00:00+00:00,9,11,forex_breakout_momentum,stop_loss,147.16785,146.94015,0.01000,-227.75191,0.05000,3,1.00000,{'breakout_high': 147.107}
C:USDJPY,2025-09-11T08:30:00+00:00,2025-09-11T15:30:00+00:00,8,15,forex_breakout_momentum,trailing_stop,147.58687,147.51513,0.01000,-71.78943,0.05000,14,1.00000,{'breakout_high': 147.478}
C:USDJPY,2025-09-17T10:00:00+00:00,2025-09-17T11:30:00+00:00,10,11,forex_breakout_momentum,signal_exit,146.63283,146.43917,0.01000,-193.71280,0.05000,3,1.00000,{'breakout_high': 146.604}
C:USDJPY,2025-09-24T09:00:00+00:00,2025-09-24T18:00:00+00:00,9,18,forex_breakout_momentum,take_profit,148.05089,148.73609,0.01000,685.14697,0.05000,18,1.00000,{'breakout_high': 147.961}
C:USDJPY,2025-10-09T09:00:00+00:00,2025-10-09T12:30:00+00:00,9,12,forex_breakout_momentum,stop_loss,153.00007,152.54194,0.01000,-458.18351,0.05000,7,1.00000,{'breakout_high': 152.763}
C:USDJPY,2025-10-13T10:00:00+00:00,2025-10-13T20:00:00+00:00,10,20,forex_breakout_momentum,stale_breakout,152.28905,152.25295,0.01000,-36.14577,0.05000,20,1.00000,{'breakout_high': 152.085}
C:USDJPY,2025-10-16T12:00:00+00:00,2025-10-16T13:00:00+00:00,12,13,forex_breakout_momentum,stop_loss,151.40301,151.18399,0.01000,-219.07197,0.05000,2,1.00000,{'breakout_high': 151.376}
C:USDJPY,2025-10-27T08:00:00+00:00,2025-10-27T09:00:00+00:00,8,9,forex_breakout_momentum,stop_loss,153.24408,152.99092,0.01000,-253.20967,0.05000,2,1.00000,{'breakout_high': 153.176}
C:USDJPY,2025-10-29T08:00:00+00:00,2025-10-29T10:00:00+00:00,8,10,forex_breakout_momentum,stop_loss,152.45805,152.01796,0.01000,-440.14327,0.05000,4,1.00000,{'breakout_high': 152.193}
C:USDJPY,2025-10-31T09:30:00+00:00,2026-04-07T17:30:00+00:00,9,17,forex_breakout_momentum,end_of_run,154.23612,159.94266,0.01000,5706.49046,0.05000,5071,1.00000,{'breakout_high': 154.164}
