symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T01:30:00+00:00,2025-07-23T01:45:00+00:00,1,1,forex_breakout_momentum,stop_loss,146.74984,146.60817,0.01000,-141.72360,0.05000,3,0.96173,{'breakout_high': 146.706}
C:USDJPY,2025-07-23T05:15:00+00:00,2025-07-23T06:10:00+00:00,5,6,forex_breakout_momentum,trailing_stop,146.77984,146.85516,0.01000,75.26595,0.05000,11,1.00000,{'breakout_high': 146.702}
C:USDJPY,2025-07-23T07:20:00+00:00,2025-07-23T07:45:00+00:00,7,7,forex_breakout_momentum,structure_exit,147.06385,146.94015,0.01000,-123.74798,0.05000,5,1.00000,{'breakout_high': 147.038}
C:USDJPY,2025-07-23T15:35:00+00:00,2025-07-23T16:30:00+00:00,15,16,forex_breakout_momentum,take_profit,146.47883,146.67416,0.01000,195.28414,0.05000,11,0.84006,{'breakout_high': 146.438}
C:USDJPY,2025-07-23T18:40:00+00:00,2025-07-23T19:05:00+00:00,18,19,forex_breakout_momentum,trailing_stop,146.48783,146.47017,0.01000,-17.70850,0.05000,5,1.00000,{'breakout_high': 146.444}
C:USDJPY,2025-07-24T09:10:00+00:00,2025-07-24T10:10:00+00:00,9,10,forex_breakout_momentum,trailing_stop,146.22082,146.13418,0.01000,-86.68573,0.05000,12,1.00000,{'breakout_high': 146.158}
C:USDJPY,2025-07-24T15:30:00+00:00,2025-07-24T16:35:00+00:00,15,16,forex_breakout_momentum,trailing_stop,146.67084,146.64716,0.01000,-23.72209,0.05000,13,1.00000,{'breakout_high': 146.587}
C:USDJPY,2025-07-24T18:00:00+00:00,2025-07-24T19:40:00+00:00,18,19,forex_breakout_momentum,structure_exit,146.87184,146.78416,0.01000,-87.73484,0.05000,20,1.00000,{'breakout_high': 146.813}
C:USDJPY,2025-07-25T01:00:00+00:00,2025-07-25T02:00:00+00:00,1,2,forex_breakout_momentum,signal_exit,147.17285,147.00815,0.01000,-164.75466,0.05000,12,1.00000,{'breakout_high': 147.075}
C:USDJPY,2025-07-25T03:00:00+00:00,2025-07-25T06:40:00+00:00,3,6,forex_breakout_momentum,trailing_stop,147.17185,147.27014,0.01000,98.23549,0.05000,44,1.00000,{'breakout_high': 147.111}
C:USDJPY,2025-07-25T10:30:00+00:00,2025-07-25T11:00:00+00:00,10,11,forex_breakout_momentum,take_profit,147.26986,147.46413,0.01000,194.22446,0.05000,6,1.00000,{'breakout_high': 147.214}
C:USDJPY,2025-07-25T14:20:00+00:00,2025-07-25T14:35:00+00:00,14,14,forex_breakout_momentum,signal_exit,147.91888,147.82212,0.01000,-96.81355,0.05000,3,1.00000,{'breakout_high': 147.839}
