symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T01:30:00+00:00,2025-07-23T01:45:00+00:00,1,1,forex_breakout_momentum,stop_loss,146.74687,146.61113,0.10000,-1357.89941,0.50000,3,0.96173,{'breakout_high': 146.706}
C:USDJPY,2025-07-23T05:15:00+00:00,2025-07-23T06:10:00+00:00,5,6,forex_breakout_momentum,trailing_stop,146.77687,146.85812,0.10000,812.02231,0.50000,11,1.00000,{'breakout_high': 146.722}
C:USDJPY,2025-07-23T07:20:00+00:00,2025-07-23T07:55:00+00:00,7,7,forex_breakout_momentum,stop_loss,147.06088,146.92812,0.10000,-1328.07773,0.50000,7,1.00000,{'breakout_high': 147.038}
C:USDJPY,2025-07-23T15:35:00+00:00,2025-07-23T16:30:00+00:00,15,16,forex_breakout_momentum,take_profit,146.47586,146.67713,0.10000,2012.15852,0.50000,11,0.84006,{'breakout_high': 146.438}
C:USDJPY,2025-07-23T18:55:00+00:00,2025-07-23T19:05:00+00:00,18,19,forex_breakout_momentum,signal_exit,146.55687,146.47314,0.10000,-837.80673,0.50000,2,0.93405,{'breakout_high': 146.525}
C:USDJPY,2025-07-24T09:10:00+00:00,2025-07-24T10:10:00+00:00,9,10,forex_breakout_momentum,trailing_stop,146.21786,146.13715,0.10000,-807.61598,0.50000,12,1.00000,{'breakout_high': 146.158}
C:USDJPY,2025-07-24T15:30:00+00:00,2025-07-24T16:35:00+00:00,15,16,forex_breakout_momentum,trailing_stop,146.66787,146.65013,0.10000,-177.88811,0.50000,13,0.89248,{'breakout_high': 146.622}
C:USDJPY,2025-07-24T18:00:00+00:00,2025-07-24T19:40:00+00:00,18,19,forex_breakout_momentum,stale_breakout,146.86888,146.78713,0.10000,-817.98363,0.50000,20,1.00000,{'breakout_high': 146.813}
C:USDJPY,2025-07-24T21:50:00+00:00,2025-07-25T00:05:00+00:00,21,0,forex_breakout_momentum,trailing_stop,146.92488,146.95312,0.10000,281.95364,0.50000,25,1.00000,{'breakout_high': 146.899}
C:USDJPY,2025-07-25T03:00:00+00:00,2025-07-25T06:40:00+00:00,3,6,forex_breakout_momentum,trailing_stop,147.16888,147.27311,0.10000,1041.79426,0.50000,44,1.00000,{'breakout_high': 147.111}
C:USDJPY,2025-07-25T10:05:00+00:00,2025-07-25T10:10:00+00:00,10,10,forex_breakout_momentum,signal_exit,147.17488,147.08212,0.10000,-928.15346,0.50000,1,0.78421,{'breakout_high': 147.135}
C:USDJPY,2025-07-25T14:20:00+00:00,2025-07-25T14:35:00+00:00,14,14,forex_breakout_momentum,signal_exit,147.91590,147.82510,0.10000,-908.57282,0.50000,3,1.00000,{'breakout_high': 147.86}
C:USDJPY,2025-07-28T01:10:00+00:00,2025-07-28T03:00:00+00:00,1,3,forex_breakout_momentum,trailing_stop,147.77490,147.67610,0.10000,-988.49087,0.50000,22,1.00000,{'breakout_high': 147.726}
C:USDJPY,2025-07-28T04:55:00+00:00,2025-07-28T05:20:00+00:00,4,5,forex_breakout_momentum,trailing_stop,147.86990,147.88510,0.10000,151.42322,0.50000,5,0.84294,{'breakout_high': 147.857}
C:USDJPY,2025-07-28T08:15:00+00:00,2025-07-28T08:25:00+00:00,8,8,forex_breakout_momentum,stop_loss,147.82790,147.76110,0.10000,-668.52987,0.50000,2,0.75775,{'breakout_high': 147.816}
C:USDJPY,2025-07-28T10:50:00+00:00,2025-07-28T11:20:00+00:00,10,11,forex_breakout_momentum,trailing_stop,148.22991,148.21509,0.10000,-148.77176,0.50000,6,1.00000,{'breakout_high': 148.206}
C:USDJPY,2025-07-28T18:05:00+00:00,2025-07-28T20:05:00+00:00,18,20,forex_breakout_momentum,trailing_stop,148.34392,148.42208,0.10000,781.13753,0.50000,24,1.00000,{'breakout_high': 148.326}
C:USDJPY,2025-07-29T03:55:00+00:00,2025-07-29T04:10:00+00:00,3,4,forex_breakout_momentum,signal_exit,148.68693,148.55508,0.10000,-1318.99699,0.50000,3,1.00000,{'breakout_high': 148.641}
C:USDJPY,2025-07-29T07:30:00+00:00,2025-07-29T07:45:00+00:00,7,7,forex_breakout_momentum,stop_loss,148.47492,148.35808,0.10000,-1168.88141,0.50000,3,1.00000,{'breakout_high': 148.454}
C:USDJPY,2025-07-29T09:35:00+00:00,2025-07-29T10:05:00+00:00,9,10,forex_breakout_momentum,take_profit,148.39692,148.56208,0.10000,1651.08299,0.50000,6,0.80004,{'breakout_high': 148.356}
C:USDJPY,2025-07-29T13:00:00+00:00,2025-07-29T13:15:00+00:00,13,13,forex_breakout_momentum,stop_loss,148.58592,148.51708,0.10000,-688.95771,0.50000,3,0.84815,{'breakout_high': 148.572}
C:USDJPY,2025-07-29T16:30:00+00:00,2025-07-29T16:35:00+00:00,16,16,forex_breakout_momentum,signal_exit,148.77693,148.67207,0.10000,-1049.05548,0.50000,1,0.78654,{'breakout_high': 148.742}
C:USDJPY,2025-07-30T07:05:00+00:00,2025-07-30T07:35:00+00:00,7,7,forex_breakout_momentum,stop_loss,148.13891,148.05409,0.10000,-848.70055,0.50000,6,0.97527,{'breakout_high': 148.091}
C:USDJPY,2025-07-30T13:05:00+00:00,2025-07-30T13:35:00+00:00,13,13,forex_breakout_momentum,take_profit,148.08091,148.22909,0.10000,1481.26639,0.50000,6,0.58646,{'breakout_high': 148.068}
C:USDJPY,2025-07-30T18:50:00+00:00,2025-07-30T19:20:00+00:00,18,19,forex_breakout_momentum,stop_loss,149.10194,149.01206,0.10000,-899.24340,0.50000,6,1.00000,{'breakout_high': 149.066}
C:USDJPY,2025-07-30T21:40:00+00:00,2025-07-31T01:50:00+00:00,21,1,forex_breakout_momentum,trailing_stop,149.09594,149.29206,0.10000,1960.67917,0.50000,48,1.00000,{'breakout_high': 148.929}
C:USDJPY,2025-07-31T10:15:00+00:00,2025-07-31T10:40:00+00:00,10,10,forex_breakout_momentum,take_profit,149.16794,149.64305,0.10000,4750.55963,0.50000,5,1.00000,{'breakout_high': 149.088}
C:USDJPY,2025-07-31T15:30:00+00:00,2025-07-31T17:45:00+00:00,15,17,forex_breakout_momentum,trailing_stop,150.15097,150.41002,0.10000,2590.06511,0.50000,27,1.00000,{'breakout_high': 150.1}
C:USDJPY,2025-07-31T19:00:00+00:00,2025-07-31T19:25:00+00:00,19,19,forex_breakout_momentum,trailing_stop,150.64498,150.70402,0.10000,589.84243,0.50000,5,0.87153,{'breakout_high': 150.601}
C:USDJPY,2025-07-31T21:45:00+00:00,2025-07-31T22:35:00+00:00,21,22,forex_breakout_momentum,stop_loss,150.77199,150.71502,0.10000,-570.19657,0.50000,10,0.95519,{'breakout_high': 150.761}
C:USDJPY,2025-08-01T02:15:00+00:00,2025-08-01T02:45:00+00:00,2,2,forex_breakout_momentum,signal_exit,150.80999,150.70502,0.10000,-1050.20448,0.50000,6,0.79550,{'breakout_high': 150.797}
C:USDJPY,2025-08-01T14:50:00+00:00,2025-08-01T15:10:00+00:00,14,15,forex_breakout_momentum,trailing_stop,150.47798,150.45602,0.10000,-220.04030,0.50000,4,0.56906,{'breakout_high': 150.455}
C:USDJPY,2025-08-04T02:20:00+00:00,2025-08-04T02:40:00+00:00,2,2,forex_breakout_momentum,stop_loss,147.32689,147.23211,0.10000,-948.23880,0.50000,4,1.00000,{'breakout_high': 147.297}
C:USDJPY,2025-08-04T08:15:00+00:00,2025-08-04T08:55:00+00:00,8,8,forex_breakout_momentum,trailing_stop,147.78190,147.76810,0.10000,-138.51885,0.50000,8,1.00000,{'breakout_high': 147.73}
C:USDJPY,2025-08-04T10:30:00+00:00,2025-08-04T11:45:00+00:00,10,11,forex_breakout_momentum,trailing_stop,147.98291,147.93309,0.10000,-498.62227,0.50000,15,1.00000,{'breakout_high': 147.908}
C:USDJPY,2025-08-04T18:00:00+00:00,2025-08-04T18:35:00+00:00,18,18,forex_breakout_momentum,stop_loss,147.28689,147.16812,0.10000,-1188.20941,0.50000,7,1.00000,{'breakout_high': 147.26}
C:USDJPY,2025-08-04T22:45:00+00:00,2025-08-04T23:10:00+00:00,22,23,forex_breakout_momentum,trailing_stop,147.02888,147.00212,0.10000,-268.08960,0.50000,5,0.68272,{'breakout_high': 147.005}
C:USDJPY,2025-08-05T03:35:00+00:00,2025-08-05T04:15:00+00:00,3,4,forex_breakout_momentum,trailing_stop,146.98788,146.96812,0.10000,-198.06840,0.50000,8,1.00000,{'breakout_high': 146.925}
C:USDJPY,2025-08-05T09:40:00+00:00,2025-08-05T10:10:00+00:00,9,10,forex_breakout_momentum,stop_loss,147.31289,147.18012,0.10000,-1328.22015,0.50000,6,1.00000,{'breakout_high': 147.237}
C:USDJPY,2025-08-05T15:30:00+00:00,2025-08-05T16:00:00+00:00,15,16,forex_breakout_momentum,stop_loss,147.73090,147.61810,0.10000,-1128.46205,0.50000,6,1.00000,{'breakout_high': 147.695}
C:USDJPY,2025-08-05T16:50:00+00:00,2025-08-05T17:00:00+00:00,16,17,forex_breakout_momentum,stop_loss,147.81690,147.59310,0.10000,-2238.47928,0.50000,2,1.00000,{'breakout_high': 147.752}
C:USDJPY,2025-08-05T20:45:00+00:00,2026-04-07T18:05:00+00:00,20,18,forex_breakout_momentum,end_of_run,147.65290,160.00275,0.10000,123498.06014,0.50000,49415,1.00000,{'breakout_high': 147.601}
