symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-10-14T14:45:00+00:00,2025-10-14T15:00:00+00:00,14,15,forex_range_reversion,signal_exit,151.84303,151.83897,0.01000,-4.11330,0.05000,1,0.84858,{'mean_level': 151.9908}
C:USDJPY,2025-11-10T13:30:00+00:00,2025-11-10T13:45:00+00:00,13,13,forex_range_reversion,signal_exit,154.04411,154.04888,0.01000,4.72019,0.05000,1,0.79693,{'mean_level': 154.13425}
C:USDJPY,2025-12-18T13:00:00+00:00,2025-12-18T13:30:00+00:00,13,13,forex_range_reversion,structure_exit,155.74818,155.56883,0.01000,-179.40151,0.05000,2,0.70094,{'mean_level': 155.8456}
C:USDJPY,2026-01-07T14:45:00+00:00,2026-01-07T15:00:00+00:00,14,15,forex_range_reversion,take_profit,156.40420,156.64179,0.01000,237.53323,0.05000,1,0.76474,{'mean_level': 156.49335000000002}
C:USDJPY,2026-01-09T13:00:00+00:00,2026-01-09T13:30:00+00:00,13,13,forex_range_reversion,structure_exit,157.57725,157.38776,0.01000,-189.53921,0.05000,2,0.71167,{'mean_level': 157.63595}
C:USDJPY,2026-02-13T12:45:00+00:00,2026-02-13T13:00:00+00:00,12,13,forex_range_reversion,signal_exit,153.25408,153.26691,0.01000,12.77953,0.05000,1,0.70505,{'mean_level': 153.43865}
C:USDJPY,2026-02-23T14:45:00+00:00,2026-02-23T15:00:00+00:00,14,15,forex_range_reversion,stop_loss,154.55713,154.37587,0.01000,-181.31152,0.05000,1,0.73884,{'mean_level': 154.798}
C:USDJPY,2026-03-06T14:45:00+00:00,2026-03-06T15:00:00+00:00,14,15,forex_range_reversion,signal_exit,157.67825,157.61675,0.01000,-61.55167,0.05000,1,0.71166,{'mean_level': 157.86555}
C:USDJPY,2026-03-13T13:00:00+00:00,2026-03-13T13:15:00+00:00,13,13,forex_range_reversion,signal_exit,159.28331,159.27369,0.01000,-9.67480,0.05000,1,0.70577,{'mean_level': 159.38745}
C:USDJPY,2026-03-27T15:15:00+00:00,2026-03-27T15:30:00+00:00,15,15,forex_range_reversion,signal_exit,159.82433,159.79667,0.01000,-27.71496,0.05000,1,0.76997,{'mean_level': 159.87635}
C:USDJPY,2026-04-03T13:30:00+00:00,2026-04-03T15:45:00+00:00,13,15,forex_range_reversion,take_profit,159.53232,159.61367,0.01000,81.30297,0.05000,9,0.79725,{'mean_level': 159.57170000000002}
