symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T10:00:00+00:00,2025-07-23T11:15:00+00:00,10,11,forex_short_breakdown_momentum,trailing_stop,146.79633,146.80567,0.10000,-93.90050,0.50000,5,1.00000,"{'breakout_low': 146.823, 'rebound_high': 146.959, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-23T11:40:00+00:00,2025-07-23T11:55:00+00:00,11,11,forex_short_breakdown_momentum,stop_loss,146.85467,146.78233,0.10000,-723.90925,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-23T12:30:00+00:00,2025-07-23T14:10:00+00:00,12,14,forex_short_breakdown_momentum,take_profit,146.53334,146.32066,0.10000,2126.28650,0.50000,6,1.00000,"{'breakout_low': 146.604, 'rebound_high': 146.738, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-25T10:05:00+00:00,2025-07-25T10:15:00+00:00,10,10,forex_short_breakdown_momentum,structure_exit,147.17368,147.13932,0.10000,-344.07825,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-28T08:10:00+00:00,2025-07-28T08:25:00+00:00,8,8,forex_short_breakdown_momentum,trailing_stop,147.80469,147.76231,0.10000,-424.39175,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T07:05:00+00:00,2025-07-29T07:45:00+00:00,7,7,forex_short_breakdown_momentum,trailing_stop,148.38871,148.35929,0.10000,-294.68700,0.50000,8,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T08:05:00+00:00,2025-07-29T08:45:00+00:00,8,8,forex_short_breakdown_momentum,trailing_stop,148.28229,148.27371,0.10000,85.36100,0.50000,8,0.92530,"{'breakout_low': 148.305, 'rebound_high': 148.406, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-29T09:35:00+00:00,2025-07-29T09:55:00+00:00,9,9,forex_short_breakdown_momentum,take_profit,148.39571,148.50729,0.10000,1115.27425,0.50000,4,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T07:00:00+00:00,2025-07-30T08:20:00+00:00,7,8,forex_short_breakdown_momentum,structure_exit,148.09470,147.89830,0.10000,-1964.49825,0.50000,16,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T10:00:00+00:00,2025-07-30T10:10:00+00:00,10,10,forex_short_breakdown_momentum,structure_exit,147.95270,147.90030,0.10000,-524.46325,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T12:05:00+00:00,2025-07-30T12:30:00+00:00,12,12,forex_short_breakdown_momentum,structure_exit,147.86530,148.06570,0.10000,-2004.48275,0.50000,5,1.00000,"{'breakout_low': 147.92, 'rebound_high': 148.0, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-31T07:30:00+00:00,2025-07-31T08:00:00+00:00,7,8,forex_short_breakdown_momentum,trailing_stop,148.87672,148.86728,0.10000,-94.93600,0.50000,6,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-31T09:20:00+00:00,2025-07-31T09:40:00+00:00,9,9,forex_short_breakdown_momentum,structure_exit,148.71528,148.92972,0.10000,-2144.91125,0.50000,3,1.00000,"{'breakout_low': 148.727, 'rebound_high': 148.823, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-01T10:00:00+00:00,2025-08-01T10:05:00+00:00,10,10,forex_short_breakdown_momentum,stop_loss,150.61177,150.48724,0.10000,-1245.77475,0.50000,1,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-08-01T12:30:00+00:00,2025-08-01T12:40:00+00:00,12,12,forex_short_breakdown_momentum,stop_loss,150.43124,150.52476,0.10000,-935.73900,0.50000,2,1.00000,"{'breakout_low': 150.47, 'rebound_high': 150.541, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-01T12:45:00+00:00,2025-08-01T12:50:00+00:00,12,12,forex_short_breakdown_momentum,stop_loss,150.56576,150.45724,0.10000,-1085.75575,0.50000,1,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-08-04T09:40:00+00:00,2025-08-04T09:55:00+00:00,9,9,forex_short_breakdown_momentum,trailing_stop,147.59231,147.65169,0.10000,-594.31100,0.50000,3,1.00000,"{'breakout_low': 147.634, 'rebound_high': 147.822, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-04T10:05:00+00:00,2025-08-04T10:15:00+00:00,10,10,forex_short_breakdown_momentum,structure_exit,147.85370,147.81230,0.10000,-414.41650,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
