symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-15T18:35:00+00:00,2025-04-15T18:40:00+00:00,18,18,mean_reversion,structure_exit,60.99781,60.85819,0.01000,-0.05152,0.05012,1,1.00000,"{'mean': 61.173, 'z_score_20': -2.192775649965178}"
USOIL,2025-04-30T18:40:00+00:00,2025-04-30T18:45:00+00:00,18,18,mean_reversion,structure_exit,59.17801,58.59519,0.01000,-0.05595,0.05012,1,1.00000,"{'mean': 60.09775, 'z_score_20': -2.7767472880485156}"
USOIL,2025-04-30T18:55:00+00:00,2025-04-30T19:00:00+00:00,18,19,mean_reversion,structure_exit,58.45269,58.37029,0.01000,-0.05094,0.05012,1,1.00000,"{'mean': 59.41275, 'z_score_20': -2.175852410615645}"
USOIL,2025-05-01T18:55:00+00:00,2025-05-01T19:00:00+00:00,18,19,mean_reversion,structure_exit,58.43568,57.97846,0.01000,-0.05469,0.05012,1,1.00000,"{'mean': 58.666375, 'z_score_20': -1.9916614660852205}"
USOIL,2025-05-07T18:15:00+00:00,2025-05-07T18:20:00+00:00,18,18,mean_reversion,structure_exit,58.82285,58.67515,0.01000,-0.05159,0.05012,1,1.00000,"{'mean': 59.130625, 'z_score_20': -1.509959512647664}"
USOIL,2025-05-14T18:25:00+00:00,2025-05-14T18:30:00+00:00,18,18,mean_reversion,structure_exit,63.11574,62.90430,0.01000,-0.05224,0.05013,1,1.00000,"{'mean': 63.331875, 'z_score_20': -1.674675099460102}"
USOIL,2025-05-15T18:00:00+00:00,2025-05-15T18:05:00+00:00,18,18,mean_reversion,structure_exit,61.34396,61.19405,0.01000,-0.05162,0.05012,1,1.00000,"{'mean': 63.15025, 'z_score_20': -1.6105749942563832}"
USOIL,2025-05-27T18:00:00+00:00,2025-05-27T18:15:00+00:00,18,18,mean_reversion,structure_exit,60.85474,60.76524,0.01000,-0.05102,0.05012,3,1.00000,"{'mean': 61.683749999999996, 'z_score_20': -2.011742556499638}"
USOIL,2025-05-30T18:30:00+00:00,2025-05-30T18:40:00+00:00,18,18,mean_reversion,structure_exit,60.53260,60.37341,0.01000,-0.05171,0.05012,2,1.00000,"{'mean': 60.772375000000004, 'z_score_20': -1.6938169190265056}"
USOIL,2025-05-30T19:25:00+00:00,2025-05-30T19:30:00+00:00,19,19,mean_reversion,structure_exit,60.27749,60.17350,0.01000,-0.05116,0.05012,1,1.00000,"{'mean': 60.45675, 'z_score_20': -2.003639326533206}"
USOIL,2025-06-04T18:15:00+00:00,2025-06-04T18:20:00+00:00,18,18,mean_reversion,structure_exit,62.94766,62.62142,0.01000,-0.05339,0.05013,1,1.00000,"{'mean': 63.5535, 'z_score_20': -2.950338270146191}"
USOIL,2025-06-17T18:35:00+00:00,2025-06-17T18:40:00+00:00,18,18,mean_reversion,structure_exit,73.26919,73.06883,0.01000,-0.05215,0.05015,1,1.00000,"{'mean': 73.610875, 'z_score_20': -2.1193175872280197}"
USOIL,2025-06-24T18:45:00+00:00,2025-06-24T18:50:00+00:00,18,18,mean_reversion,structure_exit,65.95598,65.59211,0.01000,-0.05377,0.05013,1,1.00000,"{'mean': 66.273875, 'z_score_20': -2.2632121771713667}"
USOIL,2025-06-24T19:00:00+00:00,2025-06-24T19:10:00+00:00,19,19,mean_reversion,trailing_stop,65.57181,65.53214,0.01000,-0.05053,0.05013,2,1.00000,"{'mean': 65.990625, 'z_score_20': -2.2770859313685676}"
USOIL,2025-06-26T18:55:00+00:00,2025-06-26T19:10:00+00:00,18,19,mean_reversion,structure_exit,66.94041,66.72562,0.01000,-0.05228,0.05013,3,1.00000,"{'mean': 67.19525, 'z_score_20': -1.6774815291584422}"
USOIL,2025-06-27T18:30:00+00:00,2025-06-27T18:35:00+00:00,18,18,mean_reversion,structure_exit,66.31614,66.04192,0.01000,-0.05287,0.05013,1,1.00000,"{'mean': 66.839, 'z_score_20': -3.7548523826254963}"
USOIL,2025-06-27T18:45:00+00:00,2025-06-27T18:50:00+00:00,18,18,mean_reversion,structure_exit,66.25111,66.08690,0.01000,-0.05177,0.05013,1,1.00000,"{'mean': 66.530875, 'z_score_20': -1.8339797522850485}"
USOIL,2025-06-30T18:05:00+00:00,2025-06-30T18:10:00+00:00,18,18,mean_reversion,structure_exit,65.67586,65.48216,0.01000,-0.05207,0.05013,1,1.00000,"{'mean': 65.945875, 'z_score_20': -1.5624538038563272}"
USOIL,2025-07-10T18:30:00+00:00,2025-07-10T18:40:00+00:00,18,18,mean_reversion,structure_exit,67.27156,67.11644,0.01000,-0.05169,0.05013,2,1.00000,"{'mean': 67.56575, 'z_score_20': -1.7350970692501708}"
USOIL,2025-07-18T18:15:00+00:00,2025-07-18T18:20:00+00:00,18,18,mean_reversion,structure_exit,67.35860,67.20341,0.01000,-0.05169,0.05013,1,1.00000,"{'mean': 67.56225, 'z_score_20': -3.361832322377022}"
USOIL,2025-07-31T18:00:00+00:00,2025-07-31T18:05:00+00:00,18,18,mean_reversion,structure_exit,69.62059,69.35846,0.01000,-0.05276,0.05014,1,1.00000,"{'mean': 70.702625, 'z_score_20': -2.3582386238154585}"
USOIL,2025-07-31T18:15:00+00:00,2025-07-31T18:25:00+00:00,18,18,mean_reversion,structure_exit,69.42551,69.34846,0.01000,-0.05091,0.05014,2,1.00000,"{'mean': 70.1725, 'z_score_20': -1.8924100664930938}"
USOIL,2025-08-05T18:00:00+00:00,2025-08-05T18:20:00+00:00,18,18,mean_reversion,structure_exit,65.79191,65.68807,0.01000,-0.05117,0.05013,4,1.00000,"{'mean': 66.7045, 'z_score_20': -1.6088626387043445}"
USOIL,2025-08-06T18:50:00+00:00,2025-08-06T18:55:00+00:00,18,18,mean_reversion,structure_exit,65.71288,65.19929,0.01000,-0.05527,0.05013,1,1.00000,"{'mean': 66.144125, 'z_score_20': -3.2506310848157582}"
USOIL,2025-08-07T18:10:00+00:00,2025-08-07T18:20:00+00:00,18,18,mean_reversion,structure_exit,64.51435,64.44162,0.01000,-0.05086,0.05013,2,1.00000,"{'mean': 65.1875, 'z_score_20': -1.5076447413491205}"
USOIL,2025-08-07T18:30:00+00:00,2025-08-07T18:35:00+00:00,18,18,mean_reversion,structure_exit,64.41431,64.27169,0.01000,-0.05155,0.05013,1,1.00000,"{'mean': 64.646625, 'z_score_20': -1.963466518882859}"
USOIL,2025-08-12T18:40:00+00:00,2025-08-12T18:45:00+00:00,18,18,mean_reversion,structure_exit,63.50190,63.42007,0.01000,-0.05095,0.05013,1,1.00000,"{'mean': 63.745375, 'z_score_20': -2.7983445140419945}"
USOIL,2025-08-26T18:00:00+00:00,2025-08-26T18:05:00+00:00,18,18,mean_reversion,structure_exit,64.20121,64.04879,0.01000,-0.05165,0.05013,1,1.00000,"{'mean': 65.498125, 'z_score_20': -2.7233081237364285}"
USOIL,2025-08-26T18:15:00+00:00,2025-08-26T18:20:00+00:00,18,18,mean_reversion,structure_exit,64.21622,64.10877,0.01000,-0.05120,0.05013,1,1.00000,"{'mean': 64.91749999999999, 'z_score_20': -1.6508991436129135}"
USOIL,2025-08-28T18:35:00+00:00,2025-08-28T19:25:00+00:00,18,19,mean_reversion,trailing_stop,64.11317,64.12576,0.01000,-0.05000,0.05013,10,1.00000,"{'mean': 64.31025, 'z_score_20': -1.5191488691392003}"
USOIL,2025-09-03T18:20:00+00:00,2025-09-03T18:25:00+00:00,18,18,mean_reversion,structure_exit,64.28825,64.14575,0.01000,-0.05155,0.05013,1,1.00000,"{'mean': 64.9885, 'z_score_20': -1.6505198010591593}"
USOIL,2025-09-05T18:10:00+00:00,2025-09-05T18:15:00+00:00,18,18,mean_reversion,structure_exit,62.01925,61.80878,0.01000,-0.05223,0.05012,1,1.00000,"{'mean': 63.25425, 'z_score_20': -2.210456393657499}"
USOIL,2025-09-18T18:05:00+00:00,2025-09-18T18:10:00+00:00,18,18,mean_reversion,structure_exit,63.86206,63.64497,0.01000,-0.05230,0.05013,1,1.00000,"{'mean': 64.1845, 'z_score_20': -2.4963359002846293}"
USOIL,2025-09-19T18:20:00+00:00,2025-09-19T18:25:00+00:00,18,18,mean_reversion,structure_exit,62.93466,62.77335,0.01000,-0.05174,0.05013,1,1.00000,"{'mean': 63.234125, 'z_score_20': -1.911054927221518}"
USOIL,2025-09-29T18:05:00+00:00,2025-09-29T18:10:00+00:00,18,18,mean_reversion,structure_exit,63.72900,63.51703,0.01000,-0.05225,0.05013,1,1.00000,"{'mean': 65.51625, 'z_score_20': -2.182569555535633}"
USOIL,2025-09-29T18:20:00+00:00,2025-09-29T18:25:00+00:00,18,18,mean_reversion,structure_exit,63.63897,63.43706,0.01000,-0.05215,0.05013,1,1.00000,"{'mean': 64.572375, 'z_score_20': -2.210194263603383}"
USOIL,2025-10-09T18:50:00+00:00,2025-10-09T18:55:00+00:00,18,18,mean_reversion,structure_exit,62.09229,61.94272,0.01000,-0.05162,0.05012,1,1.00000,"{'mean': 62.275125, 'z_score_20': -2.912084640442706}"
USOIL,2025-10-10T18:00:00+00:00,2025-10-10T18:05:00+00:00,18,18,mean_reversion,structure_exit,59.90433,59.80066,0.01000,-0.05116,0.05012,1,1.00000,"{'mean': 61.50075, 'z_score_20': -1.8423513095317254}"
