symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-14T13:30:00+00:00,2025-04-14T14:00:00+00:00,13,14,momentum_confirmation,take_profit,62.19933,62.50747,0.01000,-0.04704,0.05012,2,1.00000,"{'momentum_5': 0.0035698132713057884, 'momentum_20': 0.011741141219385076}"
USOIL,2025-04-14T14:30:00+00:00,2025-04-14T15:30:00+00:00,14,15,momentum_confirmation,stop_loss,62.47846,62.17761,0.01000,-0.05313,0.05012,4,1.00000,"{'momentum_5': 0.0041835618201711, 'momentum_20': 0.012344477427936429}"
USOIL,2025-04-16T15:30:00+00:00,2025-04-16T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,62.05827,61.73681,0.01000,-0.05334,0.05012,2,1.00000,"{'momentum_5': 0.00395180098471104, 'momentum_20': 0.01791549665829195}"
USOIL,2025-04-16T17:15:00+00:00,2025-04-16T18:00:00+00:00,17,18,momentum_confirmation,stop_loss,62.51747,61.99170,0.01000,-0.05538,0.05012,3,1.00000,"{'momentum_5': 0.010354814179623695, 'momentum_20': 0.009538128263575807}"
USOIL,2025-04-17T15:15:00+00:00,2025-04-17T16:30:00+00:00,15,16,momentum_confirmation,stop_loss,63.34684,62.92529,0.01000,-0.05434,0.05013,5,1.00000,"{'momentum_5': 0.00476371951219523, 'momentum_20': 0.008527119427487628}"
USOIL,2025-04-17T18:00:00+00:00,2025-04-17T19:00:00+00:00,18,19,momentum_confirmation,take_profit,63.81204,64.28469,0.01000,-0.04540,0.05013,4,1.00000,"{'momentum_5': 0.010222518067706465, 'momentum_20': 0.014806323733103977}"
USOIL,2025-04-17T19:30:00+00:00,2025-04-17T20:15:00+00:00,19,20,momentum_confirmation,stop_loss,64.50735,64.09477,0.01000,-0.05425,0.05013,3,1.00000,"{'momentum_5': 0.006482248012370961, 'momentum_20': 0.02172327403038099}"
USOIL,2025-04-22T18:45:00+00:00,2025-04-22T20:00:00+00:00,18,20,momentum_confirmation,trailing_stop,64.61539,64.27269,0.01000,-0.05356,0.05013,5,1.00000,"{'momentum_5': 0.014459952219288308, 'momentum_20': 0.013902197646836978}"
USOIL,2025-04-24T14:15:00+00:00,2025-04-24T15:45:00+00:00,14,15,momentum_confirmation,stop_loss,63.45288,63.19117,0.01000,-0.05274,0.05013,6,1.00000,"{'momentum_5': 0.004039475976998608, 'momentum_20': 0.007855234702963898}"
USOIL,2025-04-25T18:00:00+00:00,2025-04-25T20:15:00+00:00,18,20,momentum_confirmation,trailing_stop,63.14575,63.29412,0.01000,-0.04864,0.05013,9,1.00000,"{'momentum_5': 0.00453893932154803, 'momentum_20': 0.00469894870978016}"
USOIL,2025-05-01T16:30:00+00:00,2025-05-01T18:30:00+00:00,16,18,momentum_confirmation,time_stop,59.00593,58.59819,0.01000,-0.05420,0.05012,8,1.00000,"{'momentum_5': 0.027708028178837996, 'momentum_20': 0.024955653716392412}"
USOIL,2025-05-05T16:30:00+00:00,2025-05-05T17:00:00+00:00,16,17,momentum_confirmation,structure_exit,57.62533,56.80398,0.01000,-0.05833,0.05011,2,1.00000,"{'momentum_5': 0.0060302034538208815, 'momentum_20': 0.004625427633875523}"
USOIL,2025-05-06T15:00:00+00:00,2025-05-06T16:00:00+00:00,15,16,momentum_confirmation,take_profit,58.76983,59.00701,0.01000,-0.04775,0.05012,4,1.00000,"{'momentum_5': 0.005395128969273522, 'momentum_20': 0.001962926296384726}"
