symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-17T14:15:00+00:00,2025-04-21T13:30:00+00:00,14,13,stock_trend_breakout,structure_exit,63.20177,62.70538,0.01000,-0.05509,0.05013,3,1.00000,"{'atr_proxy': 0.0038016188560295572, 'momentum_20': 0.0034810528992879064}"
USOIL,2025-04-24T14:30:00+00:00,2025-04-25T13:30:00+00:00,14,13,stock_trend_breakout,structure_exit,63.49290,62.43950,0.01000,-0.06066,0.05013,2,1.00000,"{'atr_proxy': 0.00473021979754666, 'momentum_20': 0.0074660058457236556}"
USOIL,2025-05-09T14:45:00+00:00,2025-05-12T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,61.38698,62.89230,0.01000,-0.03507,0.05012,1,1.00000,"{'atr_proxy': 0.003995629270838388, 'momentum_20': 0.015518383570718663}"
USOIL,2025-06-02T13:30:00+00:00,2025-06-03T13:30:00+00:00,13,13,stock_trend_breakout,structure_exit,63.47589,62.78535,0.01000,-0.05703,0.05013,6,1.00000,"{'atr_proxy': 0.00477880293352255, 'momentum_20': 0.011469865679737179}"
USOIL,2025-07-03T14:45:00+00:00,2025-07-04T13:30:00+00:00,14,13,stock_trend_breakout,structure_exit,68.16095,66.92353,0.01000,-0.06251,0.05014,1,1.00000,"{'atr_proxy': 0.003377981435788829, 'momentum_20': 0.007919707488934558}"
USOIL,2025-07-28T14:45:00+00:00,2025-07-29T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,67.04946,67.46729,0.01000,-0.04596,0.05013,1,1.00000,"{'atr_proxy': 0.003195126685280001, 'momentum_20': 0.007506242666746932}"
USOIL,2025-08-22T14:00:00+00:00,2025-08-22T14:30:00+00:00,14,14,stock_trend_breakout,structure_exit,64.55437,64.32967,0.01000,-0.05238,0.05013,2,1.00000,"{'atr_proxy': 0.0035047997146534604, 'momentum_20': 0.002097967302791215}"
USOIL,2025-09-18T14:00:00+00:00,2025-09-18T14:30:00+00:00,14,14,stock_trend_breakout,take_profit,64.15219,64.35866,0.01000,-0.04806,0.05013,2,1.00000,"{'atr_proxy': 0.0031834709196173687, 'momentum_20': 0.00531831445514741}"
USOIL,2025-10-23T14:00:00+00:00,2025-10-23T14:30:00+00:00,14,14,stock_trend_breakout,stop_loss,62.33139,61.69083,0.01000,-0.05653,0.05012,2,1.00000,"{'atr_proxy': 0.00530026822569503, 'momentum_20': 0.020571747041274735}"
USOIL,2025-10-24T14:45:00+00:00,2025-10-27T13:30:00+00:00,14,13,stock_trend_breakout,structure_exit,62.85862,61.09909,0.01000,-0.06772,0.05012,1,1.00000,"{'atr_proxy': 0.0034401477989423773, 'momentum_20': 0.016266610556301853}"
USOIL,2025-12-29T14:30:00+00:00,2025-12-30T14:15:00+00:00,14,14,stock_trend_breakout,trailing_stop,58.28261,58.31131,0.01000,-0.04983,0.05012,5,1.00000,"{'atr_proxy': 0.003435599683924878, 'momentum_20': 0.01366905222100323}"
USOIL,2026-01-28T14:15:00+00:00,2026-01-28T14:30:00+00:00,14,14,stock_trend_breakout,structure_exit,62.83961,62.76836,0.01000,-0.05084,0.05013,1,1.00000,"{'atr_proxy': 0.005894629514569253, 'momentum_20': 0.0028118160177654783}"
USOIL,2026-02-02T14:45:00+00:00,2026-02-03T14:15:00+00:00,14,14,stock_trend_breakout,trailing_stop,62.24035,62.34554,0.01000,-0.04907,0.05012,4,1.00000,"{'atr_proxy': 0.0041820813897377835, 'momentum_20': 0.003389283408650856}"
USOIL,2026-02-11T13:30:00+00:00,2026-02-11T14:30:00+00:00,13,14,stock_trend_breakout,trailing_stop,65.31770,65.23427,0.01000,-0.05096,0.05013,4,1.00000,"{'atr_proxy': 0.004689942678478334, 'momentum_20': 0.012947897907222172}"
USOIL,2026-02-18T14:00:00+00:00,2026-02-19T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,64.09416,66.25482,0.01000,-0.02852,0.05013,4,1.00000,"{'atr_proxy': 0.007497305655780016, 'momentum_20': 0.022682619043815633}"
USOIL,2026-02-25T14:15:00+00:00,2026-02-25T14:30:00+00:00,14,14,stock_trend_breakout,structure_exit,66.30714,66.12788,0.01000,-0.05193,0.05013,1,1.00000,"{'atr_proxy': 0.0043028610251377155, 'momentum_20': 0.0009823182711197198}"
USOIL,2026-03-02T14:30:00+00:00,2026-03-02T14:45:00+00:00,14,14,stock_trend_breakout,structure_exit,72.95005,72.58004,0.01000,-0.05385,0.05015,1,1.00000,"{'atr_proxy': 0.004939965694682668, 'momentum_20': 0.0046873922933756695}"
USOIL,2026-03-18T14:15:00+00:00,2026-03-19T14:30:00+00:00,14,14,stock_trend_breakout,take_profit,95.91113,97.91292,0.01000,-0.03018,0.05019,7,1.00000,"{'atr_proxy': 0.015392482207334217, 'momentum_20': 0.036561884775977216}"
USOIL,2026-03-27T14:00:00+00:00,2026-03-30T13:30:00+00:00,14,13,stock_trend_breakout,take_profit,97.37277,101.91616,0.01000,-0.00477,0.05020,4,1.00000,"{'atr_proxy': 0.004162940577877837, 'momentum_20': 0.03220090820353949}"
USOIL,2026-04-02T13:45:00+00:00,2026-04-02T14:30:00+00:00,13,14,stock_trend_breakout,take_profit,108.70675,109.46484,0.01000,-0.04264,0.05022,3,1.00000,"{'atr_proxy': 0.005570081755910768, 'momentum_20': 0.021633620527484076}"
