symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-15T17:10:00+00:00,2025-04-15T17:15:00+00:00,17,17,stock_trend_breakout,stop_loss,61.82317,61.28801,0.01000,-0.05547,0.05012,1,1.00000,"{'atr_proxy': 0.00348161222936543, 'momentum_20': 0.014039869946467887}"
USOIL,2025-04-16T16:45:00+00:00,2025-04-16T17:35:00+00:00,16,17,stock_trend_breakout,trailing_stop,62.26736,62.24658,0.01000,-0.05033,0.05012,10,1.00000,"{'atr_proxy': 0.005948839976204599, 'momentum_20': 0.007695797284598793}"
USOIL,2025-04-17T15:00:00+00:00,2025-04-17T15:50:00+00:00,15,15,stock_trend_breakout,trailing_stop,63.14675,63.16018,0.01000,-0.04999,0.05013,10,1.00000,"{'atr_proxy': 0.004122011541632285, 'momentum_20': 0.0019060931444183637}"
USOIL,2025-04-24T16:00:00+00:00,2025-04-24T16:10:00+00:00,16,16,stock_trend_breakout,structure_exit,63.63296,63.06622,0.01000,-0.05579,0.05013,2,1.00000,"{'atr_proxy': 0.005978414776124139, 'momentum_20': 0.0037901519219227797}"
USOIL,2025-04-28T16:35:00+00:00,2025-04-28T16:40:00+00:00,16,16,stock_trend_breakout,structure_exit,63.24679,63.03524,0.01000,-0.05224,0.05013,1,0.99426,"{'atr_proxy': 0.004115486893757092, 'momentum_20': 0.0006335529650278726}"
USOIL,2025-05-01T16:50:00+00:00,2025-05-01T17:15:00+00:00,16,17,stock_trend_breakout,trailing_stop,58.87587,58.69814,0.01000,-0.05189,0.05012,5,1.00000,"{'atr_proxy': 0.005356505177954967, 'momentum_20': 0.027250336262162334}"
USOIL,2025-05-02T15:30:00+00:00,2025-05-02T15:35:00+00:00,15,15,stock_trend_breakout,structure_exit,59.32007,59.18193,0.01000,-0.05150,0.05012,1,1.00000,"{'atr_proxy': 0.008455553492768015, 'momentum_20': 0.0008445803280350273}"
USOIL,2025-05-02T15:55:00+00:00,2025-05-02T16:15:00+00:00,15,16,stock_trend_breakout,stop_loss,59.47014,59.00201,0.01000,-0.05480,0.05012,4,1.00000,"{'atr_proxy': 0.004629551691048948, 'momentum_20': 0.00016837567981697887}"
USOIL,2025-05-06T15:15:00+00:00,2025-05-06T15:20:00+00:00,15,15,stock_trend_breakout,structure_exit,58.90489,58.78710,0.01000,-0.05130,0.05012,1,1.00000,"{'atr_proxy': 0.0032293153851383123, 'momentum_20': 0.0026414001124726028}"
USOIL,2025-05-06T16:05:00+00:00,2025-05-06T16:25:00+00:00,16,16,stock_trend_breakout,trailing_stop,59.12498,59.24190,0.01000,-0.04895,0.05012,4,1.00000,"{'atr_proxy': 0.006095908967759405, 'momentum_20': 0.008366629102209311}"
USOIL,2025-05-06T17:25:00+00:00,2025-05-06T17:40:00+00:00,17,17,stock_trend_breakout,trailing_stop,59.74526,59.54677,0.01000,-0.05210,0.05012,3,1.00000,"{'atr_proxy': 0.0030162879549567615, 'momentum_20': 0.016176821169499034}"
USOIL,2025-05-08T16:40:00+00:00,2025-05-08T17:15:00+00:00,16,17,stock_trend_breakout,trailing_stop,59.59219,59.66372,0.01000,-0.04940,0.05012,7,1.00000,"{'atr_proxy': 0.004788065117685543, 'momentum_20': 0.005320226996351929}"
USOIL,2025-05-13T17:15:00+00:00,2025-05-13T17:40:00+00:00,17,17,stock_trend_breakout,stop_loss,63.22278,62.84632,0.01000,-0.05389,0.05013,5,1.00000,"{'atr_proxy': 0.003008614137319447, 'momentum_20': 0.005893408938867806}"
USOIL,2025-05-14T16:50:00+00:00,2025-05-14T17:30:00+00:00,16,17,stock_trend_breakout,time_stop,63.61595,63.44906,0.01000,-0.05180,0.05013,8,1.00000,"{'atr_proxy': 0.005193170194350434, 'momentum_20': 0.010238310996645517}"
USOIL,2025-05-19T16:00:00+00:00,2025-05-19T16:30:00+00:00,16,16,stock_trend_breakout,trailing_stop,62.17832,62.07266,0.01000,-0.05118,0.05012,6,1.00000,"{'atr_proxy': 0.00466928576028863, 'momentum_20': 0.007298323007557839}"
USOIL,2025-05-20T16:00:00+00:00,2025-05-20T16:20:00+00:00,16,16,stock_trend_breakout,trailing_stop,62.60951,62.50847,0.01000,-0.05114,0.05013,4,1.00000,"{'atr_proxy': 0.0033579046674875016, 'momentum_20': 0.005514824104444038}"
USOIL,2025-05-23T17:00:00+00:00,2025-05-23T17:20:00+00:00,17,17,stock_trend_breakout,take_profit,61.77115,62.11064,0.01000,-0.04673,0.05012,4,1.00000,"{'atr_proxy': 0.004862157825642974, 'momentum_20': 0.014468686802255881}"
USOIL,2025-05-23T17:30:00+00:00,2025-05-26T15:00:00+00:00,17,15,stock_trend_breakout,structure_exit,62.05627,61.72881,0.01000,-0.05340,0.05012,6,1.00000,"{'atr_proxy': 0.0035491885264414364, 'momentum_20': 0.020496863732898607}"
USOIL,2025-05-28T16:00:00+00:00,2025-05-28T16:40:00+00:00,16,16,stock_trend_breakout,time_stop,62.23135,62.06067,0.01000,-0.05183,0.05012,8,1.00000,"{'atr_proxy': 0.0036357201460722813, 'momentum_20': 0.00823966392551867}"
USOIL,2025-06-04T16:45:00+00:00,2025-06-04T17:05:00+00:00,16,17,stock_trend_breakout,trailing_stop,63.94310,63.83089,0.01000,-0.05125,0.05013,4,1.00000,"{'atr_proxy': 0.004462049098196451, 'momentum_20': 0.004087279129723953}"
USOIL,2025-06-05T17:40:00+00:00,2025-06-05T17:45:00+00:00,17,17,stock_trend_breakout,structure_exit,63.97911,63.74193,0.01000,-0.05250,0.05013,1,0.93776,"{'atr_proxy': 0.003677160918820796, 'momentum_20': 0.0}"
USOIL,2025-06-06T16:30:00+00:00,2025-06-06T17:05:00+00:00,16,17,stock_trend_breakout,trailing_stop,64.46533,64.39264,0.01000,-0.05086,0.05013,7,1.00000,"{'atr_proxy': 0.008292698077460726, 'momentum_20': 0.015101834920234758}"
USOIL,2025-06-10T17:15:00+00:00,2025-06-11T15:05:00+00:00,17,15,stock_trend_breakout,take_profit,65.95998,66.11189,0.01000,-0.04861,0.05013,10,1.00000,"{'atr_proxy': 0.0030354541039339916, 'momentum_20': 0.0024342745861734016}"
USOIL,2025-06-11T16:00:00+00:00,2025-06-11T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,66.38117,66.07190,0.01000,-0.05323,0.05013,6,1.00000,"{'atr_proxy': 0.003242395451597874, 'momentum_20': 0.004468749053231136}"
USOIL,2025-06-11T17:30:00+00:00,2025-06-11T17:50:00+00:00,17,17,stock_trend_breakout,structure_exit,66.62628,66.18186,0.01000,-0.05458,0.05013,4,0.83562,"{'atr_proxy': 0.003305586441085417, 'momentum_20': 0.001052884904638729}"
USOIL,2025-06-12T16:05:00+00:00,2025-06-12T17:00:00+00:00,16,17,stock_trend_breakout,take_profit,67.36160,67.66620,0.01000,-0.04709,0.05014,11,1.00000,"{'atr_proxy': 0.004161155612358649, 'momentum_20': 0.005003435194312678}"
