symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-14T15:00:00+00:00,2025-04-14T16:00:00+00:00,15,16,volatility_breakout,stop_loss,62.46845,62.06267,0.01000,-0.05418,0.05012,4,1.00000,{'breakout_high': 60.426}
USOIL,2025-04-16T15:30:00+00:00,2025-04-16T16:00:00+00:00,15,16,volatility_breakout,stop_loss,62.05827,61.73681,0.01000,-0.05334,0.05012,2,1.00000,{'breakout_high': 61.828}
USOIL,2025-04-16T17:30:00+00:00,2025-04-16T17:45:00+00:00,17,17,volatility_breakout,signal_exit,62.62252,62.20160,0.01000,-0.05433,0.05012,1,1.00000,{'breakout_high': 62.492}
USOIL,2025-04-22T15:00:00+00:00,2025-04-22T15:45:00+00:00,15,15,volatility_breakout,signal_exit,63.68499,63.61298,0.01000,-0.05085,0.05013,3,1.00000,{'breakout_high': 62.92}
USOIL,2025-05-06T15:00:00+00:00,2025-05-06T16:00:00+00:00,15,16,volatility_breakout,take_profit,58.76983,59.00701,0.01000,-0.04775,0.05012,4,1.00000,{'breakout_high': 57.792}
USOIL,2025-05-08T15:00:00+00:00,2025-05-08T15:30:00+00:00,15,15,volatility_breakout,signal_exit,59.30206,59.05399,0.01000,-0.05260,0.05012,2,0.99811,{'breakout_high': 59.229}
USOIL,2025-05-08T16:30:00+00:00,2025-05-08T17:45:00+00:00,16,17,volatility_breakout,trailing_stop,59.59219,59.56876,0.01000,-0.05035,0.05012,5,1.00000,{'breakout_high': 59.343}
USOIL,2025-05-12T15:00:00+00:00,2025-05-12T15:45:00+00:00,15,15,volatility_breakout,stop_loss,63.53892,63.30712,0.01000,-0.05244,0.05013,3,1.00000,{'breakout_high': 60.797}
USOIL,2025-05-13T17:00:00+00:00,2025-05-14T15:00:00+00:00,17,15,volatility_breakout,stale_breakout,63.08272,62.83033,0.01000,-0.05265,0.05013,4,1.00000,{'breakout_high': 62.882}
USOIL,2025-05-28T15:00:00+00:00,2025-05-28T16:00:00+00:00,15,16,volatility_breakout,take_profit,61.90220,62.02068,0.01000,-0.04894,0.05012,4,1.00000,{'breakout_high': 61.575}
USOIL,2025-06-02T15:15:00+00:00,2025-06-02T16:15:00+00:00,15,16,volatility_breakout,signal_exit,63.93610,63.54901,0.01000,-0.05400,0.05013,4,1.00000,{'breakout_high': 63.67}
USOIL,2025-06-03T15:30:00+00:00,2025-06-03T15:45:00+00:00,15,15,volatility_breakout,stop_loss,63.66298,63.27513,0.01000,-0.05401,0.05013,1,0.55232,{'breakout_high': 63.586}
USOIL,2025-06-03T17:15:00+00:00,2025-06-04T15:00:00+00:00,17,15,volatility_breakout,trailing_stop,63.84706,63.57200,0.01000,-0.05288,0.05013,3,1.00000,{'breakout_high': 63.651}
USOIL,2025-06-05T16:30:00+00:00,2025-06-05T16:45:00+00:00,16,16,volatility_breakout,signal_exit,64.08916,63.86687,0.01000,-0.05235,0.05013,1,0.86183,{'breakout_high': 63.988}
USOIL,2025-06-06T16:30:00+00:00,2025-06-09T16:00:00+00:00,16,16,volatility_breakout,time_stop,64.75546,64.71050,0.01000,-0.05058,0.05013,10,1.00000,{'breakout_high': 64.058}
USOIL,2025-06-10T15:00:00+00:00,2025-06-10T15:45:00+00:00,15,15,volatility_breakout,stop_loss,65.79591,65.43618,0.01000,-0.05373,0.05013,3,1.00000,{'breakout_high': 65.142}
USOIL,2025-06-10T16:45:00+00:00,2025-06-11T15:45:00+00:00,16,15,volatility_breakout,take_profit,66.08004,66.34179,0.01000,-0.04751,0.05013,8,1.00000,{'breakout_high': 65.869}
USOIL,2025-06-17T15:00:00+00:00,2025-06-17T15:30:00+00:00,15,15,volatility_breakout,stop_loss,73.37924,72.56905,0.01000,-0.05825,0.05015,2,1.00000,{'breakout_high': 72.453}
USOIL,2025-06-17T16:45:00+00:00,2025-06-17T17:00:00+00:00,16,17,volatility_breakout,signal_exit,73.69438,73.30872,0.01000,-0.05400,0.05015,1,1.00000,{'breakout_high': 73.419}
USOIL,2025-06-18T16:15:00+00:00,2025-06-18T17:00:00+00:00,16,17,volatility_breakout,stop_loss,75.42214,73.77052,0.01000,-0.06667,0.05015,3,1.00000,{'breakout_high': 75.14}
USOIL,2025-06-19T15:00:00+00:00,2025-06-19T15:45:00+00:00,15,15,volatility_breakout,trailing_stop,75.77829,75.62071,0.01000,-0.05173,0.05015,3,0.79177,{'breakout_high': 75.655}
USOIL,2025-06-26T17:00:00+00:00,2025-06-27T15:00:00+00:00,17,15,volatility_breakout,stale_breakout,66.77534,66.70762,0.01000,-0.05081,0.05013,4,0.78527,{'breakout_high': 66.667}
USOIL,2025-07-01T15:00:00+00:00,2025-07-01T16:00:00+00:00,15,16,volatility_breakout,trailing_stop,66.41718,66.24283,0.01000,-0.05188,0.05013,4,1.00000,{'breakout_high': 66.259}
USOIL,2025-07-03T15:00:00+00:00,2025-07-03T16:00:00+00:00,15,16,volatility_breakout,trailing_stop,68.01789,67.83513,0.01000,-0.05196,0.05014,4,1.00000,{'breakout_high': 66.907}
USOIL,2025-07-07T15:00:00+00:00,2025-07-07T15:30:00+00:00,15,15,volatility_breakout,take_profit,67.43963,67.66121,0.01000,-0.04792,0.05014,2,1.00000,{'breakout_high': 67.14}
USOIL,2025-07-11T16:15:00+00:00,2025-07-11T16:45:00+00:00,16,16,volatility_breakout,trailing_stop,67.86782,67.86712,0.01000,-0.05014,0.05014,2,0.88392,{'breakout_high': 67.77}
