symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
USOIL,2025-04-14T13:30:00+00:00,2025-04-14T13:55:00+00:00,13,13,volatility_breakout,take_profit,62.07828,62.27757,0.01000,-0.04813,0.05012,5,1.00000,{'breakout_high': 60.186}
USOIL,2025-04-16T13:30:00+00:00,2025-04-16T13:35:00+00:00,13,13,volatility_breakout,signal_exit,61.77715,61.62186,0.01000,-0.05168,0.05012,1,1.00000,{'breakout_high': 61.338}
USOIL,2025-04-17T13:30:00+00:00,2025-04-17T13:40:00+00:00,13,13,volatility_breakout,stop_loss,63.06671,62.86631,0.01000,-0.05213,0.05013,2,1.00000,{'breakout_high': 61.797}
USOIL,2025-05-02T14:15:00+00:00,2025-05-02T14:20:00+00:00,14,14,volatility_breakout,stop_loss,59.46013,58.98202,0.01000,-0.05490,0.05012,1,1.00000,{'breakout_high': 59.231}
USOIL,2025-05-05T14:10:00+00:00,2025-05-05T14:20:00+00:00,14,14,volatility_breakout,signal_exit,57.86043,57.61862,0.01000,-0.05253,0.05012,2,0.98447,{'breakout_high': 57.712}
USOIL,2025-05-07T14:55:00+00:00,2025-05-08T13:30:00+00:00,14,13,volatility_breakout,stop_loss,59.88832,59.06898,0.01000,-0.05831,0.05012,1,0.70636,{'breakout_high': 59.774}
USOIL,2025-05-09T13:30:00+00:00,2025-05-09T14:25:00+00:00,13,14,volatility_breakout,time_stop,61.22691,61.11708,0.01000,-0.05122,0.05012,11,1.00000,{'breakout_high': 59.298}
USOIL,2025-05-12T13:55:00+00:00,2025-05-12T14:05:00+00:00,13,14,volatility_breakout,trailing_stop,63.38385,63.28213,0.01000,-0.05114,0.05013,2,1.00000,{'breakout_high': 63.168}
USOIL,2025-05-13T14:30:00+00:00,2025-05-13T14:40:00+00:00,14,14,volatility_breakout,stale_breakout,62.65253,62.51747,0.01000,-0.05148,0.05013,2,0.60394,{'breakout_high': 62.557}
USOIL,2025-05-15T14:35:00+00:00,2025-05-15T14:45:00+00:00,14,14,volatility_breakout,stale_breakout,61.10885,60.99913,0.01000,-0.05122,0.05012,2,0.66686,{'breakout_high': 61.019}
USOIL,2025-05-23T13:30:00+00:00,2025-05-23T14:05:00+00:00,13,14,volatility_breakout,trailing_stop,61.67110,61.56089,0.01000,-0.05123,0.05012,7,1.00000,{'breakout_high': 61.025}
USOIL,2025-05-28T13:35:00+00:00,2025-05-28T13:40:00+00:00,13,13,volatility_breakout,stop_loss,61.85118,61.67084,0.01000,-0.05193,0.05012,1,0.78779,{'breakout_high': 61.752}
USOIL,2025-05-30T14:25:00+00:00,2025-05-30T14:30:00+00:00,14,14,volatility_breakout,stop_loss,62.01425,61.81277,0.01000,-0.05214,0.05012,1,0.60012,{'breakout_high': 61.939}
USOIL,2025-06-02T13:30:00+00:00,2025-06-02T13:35:00+00:00,13,13,volatility_breakout,take_profit,63.25079,63.29412,0.01000,-0.04969,0.05013,1,1.00000,{'breakout_high': 61.959}
USOIL,2025-06-03T14:55:00+00:00,2025-06-04T13:30:00+00:00,14,13,volatility_breakout,take_profit,63.32783,63.53102,0.01000,-0.04809,0.05013,1,0.84122,{'breakout_high': 63.206}
USOIL,2025-06-06T13:35:00+00:00,2025-06-06T13:45:00+00:00,13,13,volatility_breakout,stale_breakout,63.62496,63.45905,0.01000,-0.05179,0.05013,2,0.74884,{'breakout_high': 63.514}
USOIL,2025-06-09T14:20:00+00:00,2025-06-09T14:30:00+00:00,14,14,volatility_breakout,stale_breakout,65.02858,64.92541,0.01000,-0.05116,0.05013,2,0.57851,{'breakout_high': 64.923}
USOIL,2025-06-17T13:35:00+00:00,2025-06-17T13:40:00+00:00,13,13,volatility_breakout,signal_exit,73.11412,72.85392,0.01000,-0.05275,0.05015,1,0.82105,{'breakout_high': 72.959}
USOIL,2025-06-18T13:30:00+00:00,2025-06-18T14:10:00+00:00,13,14,volatility_breakout,time_stop,74.96594,74.55518,0.01000,-0.05426,0.05015,8,1.00000,{'breakout_high': 73.314}
USOIL,2025-06-19T14:10:00+00:00,2025-06-19T14:35:00+00:00,14,14,volatility_breakout,trailing_stop,75.76829,75.69068,0.01000,-0.05093,0.05015,5,0.89415,{'breakout_high': 75.627}
USOIL,2025-06-23T14:10:00+00:00,2025-06-23T14:20:00+00:00,14,14,volatility_breakout,signal_exit,76.03941,75.79663,0.01000,-0.05258,0.05015,2,0.84534,{'breakout_high': 75.948}
USOIL,2025-06-26T13:35:00+00:00,2025-06-26T13:45:00+00:00,13,13,volatility_breakout,take_profit,66.20009,66.23583,0.01000,-0.04978,0.05013,2,0.66495,{'breakout_high': 66.098}
USOIL,2025-07-01T13:35:00+00:00,2025-07-01T14:00:00+00:00,13,14,volatility_breakout,trailing_stop,66.36716,66.35778,0.01000,-0.05023,0.05013,5,0.96687,{'breakout_high': 66.169}
USOIL,2025-07-08T13:45:00+00:00,2025-07-08T14:25:00+00:00,13,14,volatility_breakout,time_stop,68.21898,68.14899,0.01000,-0.05084,0.05014,8,0.60136,{'breakout_high': 68.122}
USOIL,2025-07-11T14:20:00+00:00,2025-07-11T14:40:00+00:00,14,14,volatility_breakout,trailing_stop,67.54668,67.48428,0.01000,-0.05076,0.05014,4,0.80436,{'breakout_high': 67.436}
USOIL,2025-07-17T13:30:00+00:00,2025-07-17T14:10:00+00:00,13,14,volatility_breakout,time_stop,66.68130,66.44874,0.01000,-0.05246,0.05013,8,1.00000,{'breakout_high': 66.104}
USOIL,2025-07-21T14:30:00+00:00,2025-07-21T14:35:00+00:00,14,14,volatility_breakout,signal_exit,67.22054,67.00349,0.01000,-0.05230,0.05013,1,0.75653,{'breakout_high': 67.101}
USOIL,2025-07-28T14:30:00+00:00,2025-07-28T14:40:00+00:00,14,14,volatility_breakout,stale_breakout,66.85037,66.73061,0.01000,-0.05133,0.05013,2,0.55756,{'breakout_high': 66.773}
USOIL,2025-08-11T14:20:00+00:00,2025-08-12T13:30:00+00:00,14,13,volatility_breakout,time_stop,64.42131,64.17874,0.01000,-0.05255,0.05013,8,0.98513,{'breakout_high': 64.265}
