symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-10T18:30:00+00:00,2026-03-10T19:30:00+00:00,18,19,mean_reversion,structure_exit,5195.73060,5186.35003,0.10000,-94.53241,0.72675,4,1.00000,"{'mean': 5220.13, 'z_score_20': -1.8356515358036551}"
C:XAUUSD,2026-03-12T15:00:00+00:00,2026-03-12T16:45:00+00:00,15,16,mean_reversion,structure_exit,5124.96494,5122.32516,0.10000,-27.11514,0.71731,7,1.00000,"{'mean': 5150.9425, 'z_score_20': -2.690913644282295}"
C:XAUUSD,2026-03-13T14:30:00+00:00,2026-03-13T14:45:00+00:00,14,14,mean_reversion,stop_loss,5079.50130,5040.35171,0.10000,-392.20427,0.70839,1,1.00000,"{'mean': 5101.0962500000005, 'z_score_20': -1.8550013528139642}"
C:XAUUSD,2026-03-17T15:30:00+00:00,2026-03-18T04:00:00+00:00,15,4,mean_reversion,stale_breakout,4984.99374,4989.41579,0.10000,43.52226,0.69821,47,1.00000,"{'mean': 5006.1375, 'z_score_20': -2.7078281599906675}"
C:XAUUSD,2026-03-18T18:45:00+00:00,2026-03-18T19:45:00+00:00,18,19,mean_reversion,structure_exit,4853.08319,4842.10758,0.10000,-110.43482,0.67866,4,1.00000,"{'mean': 4882.92125, 'z_score_20': -2.1015029175849915}"
C:XAUUSD,2026-03-20T13:45:00+00:00,2026-03-20T14:45:00+00:00,13,14,mean_reversion,structure_exit,4616.66428,4562.82992,0.10000,-538.98616,0.64256,4,1.00000,"{'mean': 4663.5525, 'z_score_20': -3.0878713916622798}"
C:XAUUSD,2026-03-24T13:00:00+00:00,2026-03-24T17:00:00+00:00,13,17,mean_reversion,trailing_stop,4378.46522,4396.37324,0.10000,178.46589,0.61424,16,1.00000,"{'mean': 4398.39, 'z_score_20': -1.737848589358031}"
C:XAUUSD,2026-03-25T19:00:00+00:00,2026-03-25T20:30:00+00:00,19,20,mean_reversion,structure_exit,4509.08567,4503.42467,0.10000,-57.24088,0.63088,6,1.00000,"{'mean': 4545.0, 'z_score_20': -3.346529709962011}"
C:XAUUSD,2026-03-26T16:15:00+00:00,2026-03-26T17:15:00+00:00,16,17,mean_reversion,structure_exit,4396.41666,4381.83440,0.10000,-146.43708,0.61448,4,1.00000,"{'mean': 4443.23375, 'z_score_20': -3.116029813434132}"
C:XAUUSD,2026-03-30T14:15:00+00:00,2026-03-30T17:00:00+00:00,14,17,mean_reversion,stale_breakout,4519.23648,4521.63322,0.10000,23.33444,0.63286,11,1.00000,"{'mean': 4549.24125, 'z_score_20': -1.6164704279867181}"
C:XAUUSD,2026-04-02T13:00:00+00:00,2026-04-02T13:45:00+00:00,13,13,mean_reversion,signal_exit,4587.52195,4644.69337,0.10000,571.06797,0.64626,3,1.00000,"{'mean': 4607.12625, 'z_score_20': -2.6462466683583217}"
