symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-10T18:15:00+00:00,2026-03-11T08:35:00+00:00,18,8,mean_reversion,stale_breakout,5172.81152,5182.25761,0.10000,93.73609,0.72485,154,1.00000,"{'mean': 5217.87875, 'z_score_20': -4.1258214622760185}"
C:XAUUSD,2026-03-17T15:35:00+00:00,2026-03-17T16:25:00+00:00,15,16,mean_reversion,take_profit,4982.44629,5003.21194,0.10000,206.95748,0.69900,10,1.00000,"{'mean': 5002.53875, 'z_score_20': -3.049870486907265}"
C:XAUUSD,2026-03-18T18:55:00+00:00,2026-03-18T19:20:00+00:00,18,19,mean_reversion,structure_exit,4853.03594,4845.59455,0.10000,-75.09281,0.67890,5,1.00000,"{'mean': 4872.4125, 'z_score_20': -2.7168878207960763}"
C:XAUUSD,2026-03-19T15:30:00+00:00,2026-03-19T15:40:00+00:00,15,15,mean_reversion,structure_exit,4579.23404,4569.33665,0.10000,-99.61426,0.64040,2,1.00000,"{'mean': 4607.095, 'z_score_20': -2.6111663324230663}"
C:XAUUSD,2026-03-20T13:30:00+00:00,2026-03-20T13:50:00+00:00,13,13,mean_reversion,structure_exit,4643.86921,4620.59255,0.10000,-233.41508,0.64851,4,1.00000,"{'mean': 4662.7525, 'z_score_20': -2.61836852072459}"
C:XAUUSD,2026-03-20T18:20:00+00:00,2026-03-20T18:30:00+00:00,18,18,mean_reversion,structure_exit,4546.37141,4544.85861,0.10000,-15.76437,0.63639,2,1.00000,"{'mean': 4565.2787499999995, 'z_score_20': -2.4690682492731866}"
C:XAUUSD,2026-03-23T15:30:00+00:00,2026-03-23T15:40:00+00:00,15,15,mean_reversion,structure_exit,4432.44230,4406.54968,0.10000,-259.54492,0.61873,2,1.00000,"{'mean': 4456.9775, 'z_score_20': -2.0742793744567676}"
C:XAUUSD,2026-03-24T17:05:00+00:00,2026-03-24T17:30:00+00:00,17,17,mean_reversion,structure_exit,4391.86905,4381.81166,0.10000,-101.18810,0.61416,5,1.00000,"{'mean': 4414.28625, 'z_score_20': -3.044166931867755}"
C:XAUUSD,2026-03-25T19:05:00+00:00,2026-03-25T20:35:00+00:00,19,20,mean_reversion,time_stop,4503.41797,4502.65199,0.10000,-8.29028,0.63042,18,1.00000,"{'mean': 4539.01875, 'z_score_20': -3.553836532690109}"
C:XAUUSD,2026-03-26T16:20:00+00:00,2026-03-26T16:30:00+00:00,16,16,mean_reversion,structure_exit,4400.25972,4391.27090,0.10000,-90.50363,0.61541,2,1.00000,"{'mean': 4433.26125, 'z_score_20': -3.2029005726448783}"
C:XAUUSD,2026-03-26T20:00:00+00:00,2026-03-26T20:10:00+00:00,20,20,mean_reversion,take_profit,4353.35597,4394.78062,0.10000,413.63412,0.61237,2,1.00000,"{'mean': 4372.0925, 'z_score_20': -2.6204488991417847}"
C:XAUUSD,2026-03-30T13:45:00+00:00,2026-03-30T13:55:00+00:00,13,13,mean_reversion,structure_exit,4535.00050,4522.53040,0.10000,-125.33505,0.63403,2,1.00000,"{'mean': 4557.31125, 'z_score_20': -3.1102180543527074}"
C:XAUUSD,2026-04-02T13:00:00+00:00,2026-04-02T13:10:00+00:00,13,13,mean_reversion,structure_exit,4594.95530,4586.20530,0.10000,-88.14261,0.64268,2,1.00000,"{'mean': 4614.93375, 'z_score_20': -1.8081935480973421}"
