symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-10T13:15:00+00:00,2026-03-10T14:25:00+00:00,13,14,momentum_confirmation,time_stop,5214.28208,5208.15829,0.10000,-61.96752,0.72957,14,1.00000,"{'momentum_5': 0.006084499866847226, 'momentum_20': 0.006274801970260757}"
C:XAUUSD,2026-03-19T14:50:00+00:00,2026-03-19T15:30:00+00:00,14,15,momentum_confirmation,structure_exit,4622.96478,4577.91871,0.10000,-451.10477,0.64406,8,1.00000,"{'momentum_5': 0.008082491134558278, 'momentum_20': 0.01822875936495638}"
C:XAUUSD,2026-03-19T18:55:00+00:00,2026-03-19T19:10:00+00:00,18,19,momentum_confirmation,take_profit,4623.22480,4655.90247,0.10000,326.12716,0.64954,3,1.00000,"{'momentum_5': 0.004317059445930305, 'momentum_20': 0.0056214240650902525}"
C:XAUUSD,2026-03-23T13:00:00+00:00,2026-03-23T14:50:00+00:00,13,14,momentum_confirmation,trailing_stop,4453.32121,4462.17797,0.10000,87.94352,0.62408,22,1.00000,"{'momentum_5': 0.009888751545117369, 'momentum_20': 0.01777183478479505}"
C:XAUUSD,2026-03-23T17:35:00+00:00,2026-03-23T17:45:00+00:00,17,17,momentum_confirmation,stop_loss,4431.31945,4407.50235,0.10000,-238.78977,0.61872,2,1.00000,"{'momentum_5': 0.007733160474452161, 'momentum_20': 0.01549840363233801}"
C:XAUUSD,2026-03-24T14:30:00+00:00,2026-03-24T14:55:00+00:00,14,14,momentum_confirmation,trailing_stop,4415.44818,4414.14182,0.10000,-13.68174,0.61807,5,1.00000,"{'momentum_5': 0.004034532321743667, 'momentum_20': 0.007413931985331912}"
C:XAUUSD,2026-03-24T19:20:00+00:00,2026-03-24T19:30:00+00:00,19,19,momentum_confirmation,stop_loss,4408.40762,4401.53282,0.10000,-69.36465,0.61670,2,1.00000,"{'momentum_5': 0.004365876889563358, 'momentum_20': 0.006912652941875264}"
C:XAUUSD,2026-03-25T14:45:00+00:00,2026-03-25T15:05:00+00:00,14,15,momentum_confirmation,structure_exit,4572.96078,4548.63106,0.10000,-243.93578,0.63851,4,1.00000,"{'momentum_5': 0.005599517904821383, 'momentum_20': 0.002547876842386776}"
C:XAUUSD,2026-03-26T14:30:00+00:00,2026-03-26T14:50:00+00:00,14,14,momentum_confirmation,stop_loss,4474.94294,4448.13910,0.10000,-268.66308,0.62462,4,1.00000,"{'momentum_5': 0.006213680441861769, 'momentum_20': 0.00952151026495529}"
C:XAUUSD,2026-03-27T14:00:00+00:00,2026-03-27T14:55:00+00:00,14,14,momentum_confirmation,take_profit,4457.76157,4508.60426,0.10000,507.79926,0.62765,11,1.00000,"{'momentum_5': 0.0068401399653474915, 'momentum_20': 0.007892017303643861}"
C:XAUUSD,2026-03-30T15:40:00+00:00,2026-03-30T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,4552.23912,4538.91183,0.10000,-133.90930,0.63638,4,1.00000,"{'momentum_5': 0.004710588006763494, 'momentum_20': 0.005007860663122088}"
C:XAUUSD,2026-03-31T13:50:00+00:00,2026-03-31T14:45:00+00:00,13,14,momentum_confirmation,trailing_stop,4606.93350,4600.93687,0.10000,-60.61085,0.64455,11,1.00000,"{'momentum_5': 0.007429553745614825, 'momentum_20': 0.006826199666886579}"
C:XAUUSD,2026-03-31T17:30:00+00:00,2026-03-31T19:35:00+00:00,17,19,momentum_confirmation,take_profit,4659.04767,4681.53042,0.10000,224.17370,0.65384,25,1.00000,"{'momentum_5': 0.004342182992613353, 'momentum_20': 0.00878558791110029}"
C:XAUUSD,2026-04-01T14:50:00+00:00,2026-04-01T16:10:00+00:00,14,16,momentum_confirmation,trailing_stop,4768.06639,4773.96303,0.10000,58.29843,0.66794,16,1.00000,"{'momentum_5': 0.005371264682933141, 'momentum_20': 0.007623697503857274}"
C:XAUUSD,2026-04-02T14:00:00+00:00,2026-04-02T14:35:00+00:00,14,14,momentum_confirmation,take_profit,4642.71636,4688.59986,0.10000,458.18175,0.65319,7,1.00000,"{'momentum_5': 0.011419246037798203, 'momentum_20': 0.0030553880926296184}"
