symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-09T13:00:00+00:00,2026-03-09T13:35:00+00:00,13,13,trend,trailing_stop,5098.38581,5097.06417,0.01000,-1.39300,0.07137,7,0.68271,"{'fast': 5102.344999999999, 'slow': 5094.596666666666, 'trend_strength': 0.0015208923964540322}"
C:XAUUSD,2026-03-09T16:05:00+00:00,2026-03-09T16:15:00+00:00,16,16,trend,stop_loss,5106.49646,5094.81435,0.01000,-11.75351,0.07141,2,1.00000,"{'fast': 5098.95, 'slow': 5089.33, 'trend_strength': 0.0018902291657252324}"
C:XAUUSD,2026-03-09T18:55:00+00:00,2026-03-09T19:05:00+00:00,18,19,trend,trailing_stop,5123.64783,5120.13233,0.01000,-3.58721,0.07171,2,1.00000,"{'fast': 5111.436, 'slow': 5102.89, 'trend_strength': 0.0016747372567309515}"
C:XAUUSD,2026-03-10T13:15:00+00:00,2026-03-10T14:55:00+00:00,13,14,trend,stale_breakout,5214.34508,5205.41550,0.01000,-9.00252,0.07294,20,1.00000,"{'fast': 5190.862, 'slow': 5181.9130000000005, 'trend_strength': 0.0017269683995080332}"
C:XAUUSD,2026-03-11T14:50:00+00:00,2026-03-11T15:00:00+00:00,14,15,trend,stop_loss,5190.97321,5178.98762,0.01000,-12.05819,0.07259,2,0.67012,"{'fast': 5187.7480000000005, 'slow': 5179.6883333333335, 'trend_strength': 0.0015560138270869217}"
C:XAUUSD,2026-03-13T13:00:00+00:00,2026-03-13T13:25:00+00:00,13,13,trend,stop_loss,5120.82760,5107.52334,0.01000,-13.37587,0.07160,5,1.00000,"{'fast': 5114.671, 'slow': 5102.478, 'trend_strength': 0.0023896232379641003}"
C:XAUUSD,2026-03-16T13:10:00+00:00,2026-03-16T13:25:00+00:00,13,13,trend,trailing_stop,5022.87977,5020.37031,0.01000,-2.57976,0.07030,3,0.55047,"{'fast': 5020.169, 'slow': 5010.843, 'trend_strength': 0.0018611638800098973}"
C:XAUUSD,2026-03-16T18:40:00+00:00,2026-03-16T19:10:00+00:00,18,19,trend,trailing_stop,5014.89913,5010.81107,0.01000,-4.15824,0.07018,6,0.89617,"{'fast': 5002.126, 'slow': 4993.95, 'trend_strength': 0.0016371809889967892}"
C:XAUUSD,2026-03-18T16:50:00+00:00,2026-03-18T18:05:00+00:00,16,18,trend,trailing_stop,4888.00898,4881.96138,0.01000,-6.11599,0.06839,15,0.69303,"{'fast': 4879.163, 'slow': 4871.267000000001, 'trend_strength': 0.0016209335271499814}"
C:XAUUSD,2026-03-19T14:20:00+00:00,2026-03-19T14:25:00+00:00,14,14,trend,stop_loss,4612.14691,4584.47518,0.01000,-27.73611,0.06438,1,1.00000,"{'fast': 4599.987, 'slow': 4591.091333333333, 'trend_strength': 0.0019375930515868056}"
C:XAUUSD,2026-03-19T17:55:00+00:00,2026-03-19T18:35:00+00:00,17,18,trend,stale_breakout,4616.24724,4605.14353,0.01000,-11.16826,0.06455,8,0.64234,"{'fast': 4605.373, 'slow': 4597.040333333333, 'trend_strength': 0.0018126155226974028}"
C:XAUUSD,2026-03-20T16:35:00+00:00,2026-03-20T17:20:00+00:00,16,17,trend,stop_loss,4590.09515,4568.98642,0.01000,-21.17284,0.06411,9,1.00000,"{'fast': 4579.378, 'slow': 4570.8696666666665, 'trend_strength': 0.00186142549532331}"
C:XAUUSD,2026-03-23T13:00:00+00:00,2026-03-23T15:15:00+00:00,13,15,trend,trailing_stop,4453.38421,4439.79676,0.01000,-13.64971,0.06225,27,1.00000,"{'fast': 4429.031, 'slow': 4379.1483333333335, 'trend_strength': 0.01139095158914083}"
C:XAUUSD,2026-03-23T17:45:00+00:00,2026-03-23T18:45:00+00:00,17,18,trend,take_profit,4408.90065,4465.16473,0.01000,56.20196,0.06212,12,1.00000,"{'fast': 4405.586, 'slow': 4395.859333333333, 'trend_strength': 0.002212688334431334}"
C:XAUUSD,2026-03-24T14:30:00+00:00,2026-03-24T14:55:00+00:00,14,14,trend,trailing_stop,4415.51118,4414.07882,0.01000,-1.49417,0.06181,5,1.00000,"{'fast': 4391.661999999999, 'slow': 4384.425333333334, 'trend_strength': 0.0016505393789347789}"
C:XAUUSD,2026-03-24T20:25:00+00:00,2026-03-25T00:40:00+00:00,20,0,trend,take_profit,4455.29436,4566.30664,0.01000,110.94912,0.06315,40,1.00000,"{'fast': 4412.628, 'slow': 4404.8589999999995, 'trend_strength': 0.0017637340945533264}"
C:XAUUSD,2026-03-26T13:55:00+00:00,2026-03-26T14:50:00+00:00,13,14,trend,trailing_stop,4452.00410,4448.07610,0.01000,-3.99031,0.06230,11,0.79255,"{'fast': 4446.344, 'slow': 4439.269666666666, 'trend_strength': 0.0015935804455524671}"
C:XAUUSD,2026-03-27T13:00:00+00:00,2026-03-27T14:50:00+00:00,13,14,trend,take_profit,4433.69264,4487.80292,0.01000,54.04783,0.06245,22,1.00000,"{'fast': 4431.65, 'slow': 4421.762333333333, 'trend_strength': 0.0022361370696313276}"
