symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-09T02:10:00+00:00,2026-03-09T02:15:00+00:00,2,2,volatility_breakout,signal_exit,5094.71627,5077.30501,0.10000,-174.82466,0.71204,1,1.00000,{'breakout_high': 5081.78}
C:XAUUSD,2026-03-09T09:25:00+00:00,2026-03-09T09:35:00+00:00,9,9,volatility_breakout,signal_exit,5125.67875,5116.83185,0.10000,-89.18598,0.71698,2,0.61713,{'breakout_high': 5121.94}
C:XAUUSD,2026-03-09T18:50:00+00:00,2026-03-09T19:30:00+00:00,18,19,volatility_breakout,trailing_stop,5125.05870,5129.94080,0.10000,48.10315,0.71785,8,0.74947,{'breakout_high': 5119.61}
C:XAUUSD,2026-03-10T13:00:00+00:00,2026-03-10T13:45:00+00:00,13,13,volatility_breakout,trailing_stop,5195.84436,5204.20486,0.10000,82.87696,0.72800,9,0.78454,{'breakout_high': 5189.04}
C:XAUUSD,2026-03-10T16:20:00+00:00,2026-03-10T16:40:00+00:00,16,16,volatility_breakout,signal_exit,5233.37736,5227.62298,0.10000,-58.27607,0.73227,4,0.72399,{'breakout_high': 5230.07}
C:XAUUSD,2026-03-12T01:45:00+00:00,2026-03-12T01:50:00+00:00,1,1,volatility_breakout,signal_exit,5171.98245,5166.11790,0.10000,-59.36915,0.72367,1,0.60585,{'breakout_high': 5169.9}
C:XAUUSD,2026-03-12T06:30:00+00:00,2026-03-12T07:40:00+00:00,6,7,volatility_breakout,take_profit,5161.46161,5177.67698,0.10000,161.42995,0.72374,14,0.66353,{'breakout_high': 5157.12}
C:XAUUSD,2026-03-13T11:55:00+00:00,2026-03-13T12:15:00+00:00,11,12,volatility_breakout,trailing_stop,5108.04734,5105.74273,0.10000,-23.76100,0.71497,4,0.99482,{'breakout_high': 5097.58}
C:XAUUSD,2026-03-16T11:20:00+00:00,2026-03-16T11:45:00+00:00,11,11,volatility_breakout,signal_exit,5020.44033,5010.44036,0.10000,-100.70187,0.70216,5,0.93290,{'breakout_high': 5013.46}
C:XAUUSD,2026-03-16T18:30:00+00:00,2026-03-16T19:10:00+00:00,18,19,volatility_breakout,trailing_stop,5011.03958,5010.90032,0.10000,-2.09409,0.70154,8,0.59392,{'breakout_high': 5007.64}
C:XAUUSD,2026-03-17T01:50:00+00:00,2026-03-17T02:45:00+00:00,1,2,volatility_breakout,trailing_stop,5025.80076,5023.55931,0.10000,-23.11794,0.70346,11,0.71578,{'breakout_high': 5020.74}
C:XAUUSD,2026-03-18T00:05:00+00:00,2026-03-18T00:15:00+00:00,0,0,volatility_breakout,signal_exit,5012.67971,5004.90080,0.10000,-78.49029,0.70123,2,0.68140,{'breakout_high': 5007.01}
C:XAUUSD,2026-03-18T17:20:00+00:00,2026-03-18T18:05:00+00:00,17,18,volatility_breakout,stop_loss,4897.00046,4882.05063,0.10000,-150.18277,0.68453,9,0.95819,{'breakout_high': 4889.69}
C:XAUUSD,2026-03-19T00:00:00+00:00,2026-03-19T00:05:00+00:00,0,0,volatility_breakout,signal_exit,4845.57634,4840.80393,0.10000,-48.40215,0.67805,1,0.68253,{'breakout_high': 4842.12}
C:XAUUSD,2026-03-19T17:50:00+00:00,2026-03-19T17:55:00+00:00,17,17,volatility_breakout,signal_exit,4625.05870,4614.84201,0.10000,-102.81371,0.64679,1,0.89664,{'breakout_high': 4617.65}
C:XAUUSD,2026-03-20T01:00:00+00:00,2026-03-20T01:10:00+00:00,1,1,volatility_breakout,signal_exit,4669.25224,4650.40916,0.10000,-189.08310,0.65238,2,1.00000,{'breakout_high': 4659.78}
C:XAUUSD,2026-03-20T07:55:00+00:00,2026-03-20T08:30:00+00:00,7,8,volatility_breakout,trailing_stop,4706.54522,4707.09463,0.10000,4.83513,0.65895,7,0.77023,{'breakout_high': 4700.31}
C:XAUUSD,2026-03-20T12:00:00+00:00,2026-03-20T12:20:00+00:00,12,12,volatility_breakout,trailing_stop,4679.30304,4680.13679,0.10000,7.68229,0.65516,4,0.77350,{'breakout_high': 4673.67}
C:XAUUSD,2026-03-23T11:05:00+00:00,2026-03-23T15:30:00+00:00,11,15,volatility_breakout,stale_breakout,4405.46114,4431.17670,0.10000,256.53712,0.61856,53,1.00000,{'breakout_high': 4294.97}
C:XAUUSD,2026-03-23T18:35:00+00:00,2026-03-23T18:50:00+00:00,18,18,volatility_breakout,trailing_stop,4448.00454,4453.26494,0.10000,51.98090,0.62309,3,1.00000,{'breakout_high': 4444.08}
C:XAUUSD,2026-03-23T23:05:00+00:00,2026-03-23T23:35:00+00:00,23,23,volatility_breakout,trailing_stop,4432.72332,4426.78706,0.10000,-59.98277,0.62017,6,0.77294,{'breakout_high': 4428.75}
