symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2023-04-13T12:00:00+00:00,2023-04-14T12:00:00+00:00,12,12,volatility_breakout,signal_exit,2045.40660,2024.19503,0.10000,-212.40055,0.28487,5,1.00000,{'breakout_high': 2029.19}
C:XAUUSD,2023-05-10T12:00:00+00:00,2023-05-12T04:00:00+00:00,12,4,volatility_breakout,stale_breakout,2046.02665,2011.38605,0.10000,-346.68995,0.28402,8,1.00000,{'breakout_high': 2037.6}
C:XAUUSD,2023-07-11T08:00:00+00:00,2023-07-17T12:00:00+00:00,8,12,volatility_breakout,trailing_stop,1937.10793,1948.19111,0.10000,110.55979,0.27197,21,1.00000,{'breakout_high': 1929.4}
C:XAUUSD,2023-10-11T08:00:00+00:00,2023-10-12T20:00:00+00:00,8,20,volatility_breakout,trailing_stop,1870.01257,1868.41749,0.10000,-16.21243,0.26169,8,1.00000,{'breakout_high': 1865.19}
C:XAUUSD,2023-11-21T12:00:00+00:00,2023-11-29T04:00:00+00:00,12,4,volatility_breakout,take_profit,1998.05281,2045.56332,0.10000,474.82205,0.28305,26,1.00000,{'breakout_high': 1994.29}
C:XAUUSD,2023-12-22T12:00:00+00:00,2023-12-28T20:00:00+00:00,12,20,volatility_breakout,trailing_stop,2067.58837,2064.54180,0.10000,-30.75495,0.28925,17,1.00000,{'breakout_high': 2054.56}
C:XAUUSD,2024-02-20T08:00:00+00:00,2024-02-20T20:00:00+00:00,8,20,volatility_breakout,trailing_stop,2024.48492,2023.32510,0.10000,-11.88159,0.28335,3,0.87955,{'breakout_high': 2022.94}
C:XAUUSD,2024-02-29T12:00:00+00:00,2024-03-04T16:00:00+00:00,12,16,volatility_breakout,take_profit,2048.09681,2116.01768,0.10000,678.91722,0.29149,11,1.00000,{'breakout_high': 2037.84}
C:XAUUSD,2024-03-26T12:00:00+00:00,2024-04-01T04:00:00+00:00,12,4,volatility_breakout,take_profit,2188.32803,2259.86617,0.10000,715.07007,0.31137,13,1.00000,{'breakout_high': 2181.3}
C:XAUUSD,2024-05-09T12:00:00+00:00,2024-05-13T16:00:00+00:00,12,16,volatility_breakout,trailing_stop,2327.16914,2336.27006,0.10000,90.68281,0.32644,11,1.00000,{'breakout_high': 2321.38}
C:XAUUSD,2024-07-03T08:00:00+00:00,2024-07-08T16:00:00+00:00,8,16,volatility_breakout,trailing_stop,2345.09057,2358.16831,0.10000,130.44816,0.32923,16,1.00000,{'breakout_high': 2336.74}
C:XAUUSD,2024-08-20T08:00:00+00:00,2024-08-22T16:00:00+00:00,8,16,volatility_breakout,stale_breakout,2520.29459,2483.79826,0.10000,-365.31356,0.35029,12,1.00000,{'breakout_high': 2509.7}
C:XAUUSD,2024-10-16T08:00:00+00:00,2024-10-21T04:00:00+00:00,8,4,volatility_breakout,take_profit,2679.94736,2729.87857,0.10000,498.93345,0.37869,14,1.00000,{'breakout_high': 2670.02}
C:XAUUSD,2024-11-19T08:00:00+00:00,2024-11-20T08:00:00+00:00,8,8,volatility_breakout,signal_exit,2630.69342,2621.37725,0.10000,-93.52930,0.36764,5,1.00000,{'breakout_high': 2625.47}
C:XAUUSD,2024-12-10T12:00:00+00:00,2024-12-12T16:00:00+00:00,12,16,volatility_breakout,trailing_stop,2680.84743,2685.77210,0.10000,48.87104,0.37566,11,1.00000,{'breakout_high': 2676.36}
C:XAUUSD,2025-01-10T08:00:00+00:00,2025-01-13T08:00:00+00:00,8,8,volatility_breakout,trailing_stop,2678.90727,2684.14223,0.10000,51.97415,0.37541,5,0.90516,{'breakout_high': 2678.05}
C:XAUUSD,2025-01-30T12:00:00+00:00,2025-02-03T04:00:00+00:00,12,4,volatility_breakout,trailing_stop,2786.13585,2782.53436,0.10000,-36.40474,0.38981,8,1.00000,{'breakout_high': 2776.46}
C:XAUUSD,2025-02-19T08:00:00+00:00,2025-02-19T12:00:00+00:00,8,12,volatility_breakout,signal_exit,2945.96864,2935.82209,0.10000,-101.87716,0.41173,1,1.00000,{'breakout_high': 2939.64}
C:XAUUSD,2025-06-12T12:00:00+00:00,2025-06-16T20:00:00+00:00,12,20,volatility_breakout,trailing_stop,3388.54404,3383.11631,0.10000,-54.75134,0.47402,12,1.00000,{'breakout_high': 3377.7}
C:XAUUSD,2025-07-11T12:00:00+00:00,2025-07-17T08:00:00+00:00,12,8,volatility_breakout,stale_breakout,3355.60140,3328.21070,0.10000,-274.37491,0.46787,19,1.00000,{'breakout_high': 3343.82}
