symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2023-04-13T12:00:00+00:00,2023-04-14T12:00:00+00:00,12,12,volatility_breakout,signal_exit,2045.43810,2024.16353,0.10000,-213.03055,0.28487,5,1.00000,{'breakout_high': 2029.19}
C:XAUUSD,2023-05-03T16:00:00+00:00,2023-05-05T12:00:00+00:00,16,12,volatility_breakout,trailing_stop,2024.50642,2009.87467,0.10000,-146.59991,0.28241,9,1.00000,{'breakout_high': 2019.49}
C:XAUUSD,2023-06-01T16:00:00+00:00,2023-06-02T12:00:00+00:00,16,12,volatility_breakout,signal_exit,1978.89277,1970.48782,0.10000,-84.32596,0.27646,4,1.00000,{'breakout_high': 1974.77}
C:XAUUSD,2023-08-23T16:00:00+00:00,2023-09-05T08:00:00+00:00,16,8,volatility_breakout,trailing_stop,1920.23808,1933.04082,0.10000,127.75765,0.26973,42,1.00000,{'breakout_high': 1908.64}
C:XAUUSD,2023-09-18T16:00:00+00:00,2023-09-19T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,1931.50898,1930.48102,0.10000,-10.54993,0.27034,5,0.64448,{'breakout_high': 1930.61}
C:XAUUSD,2023-11-16T16:00:00+00:00,2023-11-17T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,1983.84317,1980.62701,0.10000,-32.43909,0.27751,5,1.00000,{'breakout_high': 1975.15}
C:XAUUSD,2023-11-28T12:00:00+00:00,2023-11-29T04:00:00+00:00,12,4,volatility_breakout,take_profit,2021.93622,2045.53182,0.10000,235.67130,0.28472,3,1.00000,{'breakout_high': 2017.65}
C:XAUUSD,2023-12-19T16:00:00+00:00,2023-12-20T12:00:00+00:00,16,12,volatility_breakout,signal_exit,2040.88773,2035.93259,0.10000,-49.83683,0.28538,4,1.00000,{'breakout_high': 2033.6}
C:XAUUSD,2024-01-31T16:00:00+00:00,2024-02-02T12:00:00+00:00,16,12,volatility_breakout,stale_breakout,2050.12847,2031.21297,0.10000,-189.44077,0.28569,9,0.97212,{'breakout_high': 2048.61}
C:XAUUSD,2024-02-23T16:00:00+00:00,2024-02-28T08:00:00+00:00,16,8,volatility_breakout,stale_breakout,2038.39753,2024.44351,0.10000,-139.82467,0.28440,13,1.00000,{'breakout_high': 2034.8}
C:XAUUSD,2024-03-26T12:00:00+00:00,2024-03-26T16:00:00+00:00,12,16,volatility_breakout,signal_exit,2188.35953,2176.31136,0.10000,-120.78726,0.30553,1,1.00000,{'breakout_high': 2181.3}
C:XAUUSD,2024-04-16T16:00:00+00:00,2024-04-17T20:00:00+00:00,16,20,volatility_breakout,stale_breakout,2397.97630,2370.57581,0.10000,-274.33864,0.33380,6,1.00000,{'breakout_high': 2389.28}
C:XAUUSD,2024-05-09T12:00:00+00:00,2024-05-13T08:00:00+00:00,12,8,volatility_breakout,trailing_stop,2327.20064,2342.75804,0.10000,155.24713,0.32690,9,1.00000,{'breakout_high': 2321.38}
C:XAUUSD,2024-06-20T16:00:00+00:00,2026-04-21T08:00:00+00:00,16,8,volatility_breakout,end_of_run,2356.84301,4788.44237,0.10000,24315.49345,0.50017,2342,1.00000,{'breakout_high': 2345.63}
