symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2023-05-03T16:00:00+00:00,2023-05-05T12:00:00+00:00,16,12,volatility_breakout,trailing_stop,2024.47492,2009.90617,0.10000,-145.96991,0.28241,9,1.00000,{'breakout_high': 2019.49}
C:XAUUSD,2023-08-29T16:00:00+00:00,2023-09-05T08:00:00+00:00,16,8,volatility_breakout,stale_breakout,1936.71790,1933.07232,0.10000,-36.72672,0.27089,22,1.00000,{'breakout_high': 1926.02}
C:XAUUSD,2023-12-19T16:00:00+00:00,2023-12-28T04:00:00+00:00,16,4,volatility_breakout,take_profit,2040.85623,2085.34014,0.10000,444.55021,0.28883,27,1.00000,{'breakout_high': 2033.6}
C:XAUUSD,2024-01-31T16:00:00+00:00,2024-01-31T20:00:00+00:00,16,20,volatility_breakout,signal_exit,2050.09697,2036.98401,0.10000,-131.41576,0.28610,1,0.97212,{'breakout_high': 2048.61}
C:XAUUSD,2024-02-23T16:00:00+00:00,2024-02-28T08:00:00+00:00,16,8,volatility_breakout,stale_breakout,2038.36603,2024.47501,0.10000,-139.19467,0.28440,13,1.00000,{'breakout_high': 2034.8}
C:XAUUSD,2024-04-16T16:00:00+00:00,2024-04-16T20:00:00+00:00,16,20,volatility_breakout,signal_exit,2397.94480,2382.86633,0.10000,-151.11930,0.33466,1,1.00000,{'breakout_high': 2389.28}
C:XAUUSD,2024-07-31T20:00:00+00:00,2024-08-02T16:00:00+00:00,20,16,volatility_breakout,trailing_stop,2447.48876,2430.02256,0.10000,-175.00343,0.34143,9,1.00000,{'breakout_high': 2434.6}
C:XAUUSD,2024-08-16T16:00:00+00:00,2024-08-19T12:00:00+00:00,16,12,volatility_breakout,trailing_stop,2496.30267,2490.67771,0.10000,-56.59867,0.34909,4,1.00000,{'breakout_high': 2492.39}
C:XAUUSD,2024-08-29T16:00:00+00:00,2024-08-30T16:00:00+00:00,16,16,volatility_breakout,stop_loss,2525.72502,2497.21718,0.10000,-285.42996,0.35161,4,0.58481,{'breakout_high': 2524.37}
C:XAUUSD,2024-09-20T16:00:00+00:00,2024-09-27T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,2625.37299,2651.33485,0.10000,259.24926,0.36937,25,1.00000,{'breakout_high': 2619.33}
C:XAUUSD,2024-10-29T16:00:00+00:00,2024-10-31T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,2769.84455,2740.15775,0.10000,-297.25370,0.38570,10,1.00000,{'breakout_high': 2756.74}
C:XAUUSD,2025-01-02T16:00:00+00:00,2026-04-21T08:00:00+00:00,16,8,volatility_breakout,end_of_run,2656.93552,4788.47387,0.10000,21314.86236,0.52118,1050,1.00000,{'breakout_high': 2638.06}
