symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-09T02:10:00+00:00,2026-03-09T02:15:00+00:00,2,2,volatility_breakout,signal_exit,5094.70052,5077.32076,0.10000,-174.50966,0.71204,1,1.00000,{'breakout_high': 5081.78}
C:XAUUSD,2026-03-09T09:25:00+00:00,2026-03-09T09:35:00+00:00,9,9,volatility_breakout,signal_exit,5125.66300,5116.84760,0.10000,-88.87098,0.71698,2,0.61713,{'breakout_high': 5121.94}
C:XAUUSD,2026-03-09T18:50:00+00:00,2026-03-09T19:30:00+00:00,18,19,volatility_breakout,trailing_stop,5125.04295,5129.95655,0.10000,48.41815,0.71785,8,0.74947,{'breakout_high': 5119.61}
C:XAUUSD,2026-03-10T13:00:00+00:00,2026-03-10T13:45:00+00:00,13,13,volatility_breakout,trailing_stop,5195.82861,5204.22061,0.10000,83.19196,0.72800,9,0.78454,{'breakout_high': 5189.04}
C:XAUUSD,2026-03-10T16:20:00+00:00,2026-03-10T16:40:00+00:00,16,16,volatility_breakout,signal_exit,5233.36161,5227.63873,0.10000,-57.96107,0.73227,4,0.72399,{'breakout_high': 5230.07}
C:XAUUSD,2026-03-12T01:45:00+00:00,2026-03-12T01:50:00+00:00,1,1,volatility_breakout,signal_exit,5171.96670,5166.13365,0.10000,-59.05415,0.72367,1,0.60585,{'breakout_high': 5169.9}
C:XAUUSD,2026-03-12T06:30:00+00:00,2026-03-12T07:40:00+00:00,6,7,volatility_breakout,take_profit,5161.44586,5177.69273,0.10000,161.74495,0.72374,14,0.66353,{'breakout_high': 5157.12}
C:XAUUSD,2026-03-13T11:55:00+00:00,2026-03-13T12:15:00+00:00,11,12,volatility_breakout,trailing_stop,5108.03159,5105.75848,0.10000,-23.44600,0.71497,4,0.99482,{'breakout_high': 5097.58}
C:XAUUSD,2026-03-16T11:20:00+00:00,2026-03-16T11:45:00+00:00,11,11,volatility_breakout,signal_exit,5020.42458,5010.45611,0.10000,-100.38687,0.70216,5,0.93290,{'breakout_high': 5013.46}
C:XAUUSD,2026-03-16T18:30:00+00:00,2026-03-16T19:10:00+00:00,18,19,volatility_breakout,trailing_stop,5011.02383,5010.91607,0.10000,-1.77909,0.70154,8,0.59392,{'breakout_high': 5007.64}
C:XAUUSD,2026-03-17T01:50:00+00:00,2026-03-17T02:45:00+00:00,1,2,volatility_breakout,trailing_stop,5025.78501,5023.57506,0.10000,-22.80294,0.70346,11,0.71578,{'breakout_high': 5020.74}
C:XAUUSD,2026-03-18T00:05:00+00:00,2026-03-18T00:15:00+00:00,0,0,volatility_breakout,signal_exit,5012.66396,5004.91655,0.10000,-78.17529,0.70123,2,0.68140,{'breakout_high': 5007.01}
C:XAUUSD,2026-03-18T17:20:00+00:00,2026-03-18T18:05:00+00:00,17,18,volatility_breakout,stop_loss,4896.98471,4882.06638,0.10000,-149.86777,0.68453,9,0.95819,{'breakout_high': 4889.69}
C:XAUUSD,2026-03-19T00:00:00+00:00,2026-03-19T00:05:00+00:00,0,0,volatility_breakout,signal_exit,4845.56059,4840.81968,0.10000,-48.08715,0.67805,1,0.68253,{'breakout_high': 4842.12}
C:XAUUSD,2026-03-19T17:50:00+00:00,2026-03-19T17:55:00+00:00,17,17,volatility_breakout,signal_exit,4625.04295,4614.85776,0.10000,-102.49871,0.64679,1,0.89664,{'breakout_high': 4617.65}
C:XAUUSD,2026-03-20T01:00:00+00:00,2026-03-20T01:10:00+00:00,1,1,volatility_breakout,signal_exit,4669.23649,4650.42491,0.10000,-188.76810,0.65238,2,1.00000,{'breakout_high': 4659.78}
C:XAUUSD,2026-03-20T07:55:00+00:00,2026-03-20T08:30:00+00:00,7,8,volatility_breakout,trailing_stop,4706.52947,4707.11038,0.10000,5.15013,0.65895,7,0.77023,{'breakout_high': 4700.31}
C:XAUUSD,2026-03-20T12:00:00+00:00,2026-03-20T12:20:00+00:00,12,12,volatility_breakout,trailing_stop,4679.28729,4680.15254,0.10000,7.99729,0.65516,4,0.77350,{'breakout_high': 4673.67}
C:XAUUSD,2026-03-23T11:05:00+00:00,2026-04-03T12:30:00+00:00,11,12,volatility_breakout,end_of_run,4405.44539,4674.30300,0.10000,2687.94060,0.63558,2306,1.00000,{'breakout_high': 4294.97}
