symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-09T18:50:00+00:00,2026-03-09T22:00:00+00:00,18,22,volatility_breakout,trailing_stop,5125.04820,5126.62157,0.10000,15.01605,0.71762,27,0.74947,{'breakout_high': 5119.61}
C:XAUUSD,2026-03-10T13:00:00+00:00,2026-03-10T14:00:00+00:00,13,14,volatility_breakout,trailing_stop,5195.83386,5200.15568,0.10000,42.49049,0.72772,12,0.78454,{'breakout_high': 5189.04}
C:XAUUSD,2026-03-16T13:15:00+00:00,2026-03-16T13:25:00+00:00,13,13,volatility_breakout,signal_exit,5027.03036,5020.47006,0.10000,-66.30633,0.70333,2,0.64314,{'breakout_high': 5024.34}
C:XAUUSD,2026-03-16T18:30:00+00:00,2026-03-16T19:25:00+00:00,18,19,volatility_breakout,trailing_stop,5011.02908,5009.45094,0.10000,-16.48282,0.70143,11,0.59392,{'breakout_high': 5007.64}
C:XAUUSD,2026-03-18T17:20:00+00:00,2026-03-18T18:05:00+00:00,17,18,volatility_breakout,stop_loss,4896.98996,4882.06113,0.10000,-149.97277,0.68453,9,0.93607,{'breakout_high': 4890.05}
C:XAUUSD,2026-03-19T17:50:00+00:00,2026-03-19T17:55:00+00:00,17,17,volatility_breakout,signal_exit,4625.04820,4614.85251,0.10000,-102.60371,0.64679,1,0.89664,{'breakout_high': 4617.65}
C:XAUUSD,2026-03-23T18:35:00+00:00,2026-03-23T18:55:00+00:00,18,18,volatility_breakout,trailing_stop,4447.99404,4447.84587,0.10000,-2.10438,0.62271,4,1.00000,{'breakout_high': 4444.08}
C:XAUUSD,2026-03-24T15:35:00+00:00,2026-03-24T15:50:00+00:00,15,15,volatility_breakout,signal_exit,4423.35207,4417.84827,0.10000,-55.65684,0.61888,3,0.99074,{'breakout_high': 4419.84}
C:XAUUSD,2026-03-24T20:20:00+00:00,2026-03-25T13:45:00+00:00,20,13,volatility_breakout,signal_exit,4463.46528,4550.62765,0.10000,870.99273,0.63099,198,1.00000,{'breakout_high': 4409.39}
C:XAUUSD,2026-03-27T14:00:00+00:00,2026-03-27T16:40:00+00:00,14,16,volatility_breakout,signal_exit,4457.72482,4510.09089,0.10000,523.03300,0.62775,32,1.00000,{'breakout_high': 4440.91}
C:XAUUSD,2026-03-31T13:50:00+00:00,2026-03-31T14:45:00+00:00,13,14,volatility_breakout,trailing_stop,4606.89675,4600.97362,0.10000,-59.87585,0.64455,11,1.00000,{'breakout_high': 4589.48}
C:XAUUSD,2026-04-01T14:45:00+00:00,2026-04-01T15:10:00+00:00,14,15,volatility_breakout,trailing_stop,4759.11893,4763.71060,0.10000,45.25014,0.66660,5,0.66509,{'breakout_high': 4755.78}
C:XAUUSD,2026-04-02T14:15:00+00:00,2026-04-02T15:05:00+00:00,14,15,volatility_breakout,trailing_stop,4660.70105,4669.94810,0.10000,91.81733,0.65315,10,0.74101,{'breakout_high': 4659.18}
