symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-11T13:40:00+00:00,2026-03-11T13:50:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5164.49328,5168.66694,0.01000,-4.24598,0.07233,2,0.59517,"{'breakout_low': 5167.38, 'rebound_high': 5180.87, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-11T14:35:00+00:00,2026-03-11T14:55:00+00:00,14,14,xauusd_short_breakdown,trailing_stop,5186.00832,5182.04188,0.01000,-4.03902,0.07258,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-12T13:45:00+00:00,2026-03-12T13:55:00+00:00,13,13,xauusd_short_breakdown,stale_breakout,5150.56440,5151.59557,0.01000,-1.10329,0.07212,2,0.65822,"{'breakout_low': 5155.34, 'rebound_high': 5170.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-13T13:00:00+00:00,2026-03-13T13:10:00+00:00,13,13,xauusd_short_breakdown,stale_breakout,5120.73310,5111.76750,0.01000,-9.03723,0.07163,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-13T14:10:00+00:00,2026-03-13T14:20:00+00:00,14,14,xauusd_short_breakdown,stale_breakout,5089.64927,5091.13074,0.01000,-1.55273,0.07127,2,0.62359,"{'breakout_low': 5093.42, 'rebound_high': 5107.93, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-16T13:05:00+00:00,2026-03-16T13:25:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5020.98512,5020.46481,0.01000,-0.59061,0.07029,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-16T14:40:00+00:00,2026-03-16T15:15:00+00:00,14,15,xauusd_short_breakdown,trailing_stop,4999.87646,5004.98384,0.01000,-5.17742,0.07003,7,0.70410,"{'breakout_low': 5005.89, 'rebound_high': 5021.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-17T13:00:00+00:00,2026-03-17T13:10:00+00:00,13,13,xauusd_short_breakdown,stale_breakout,5017.31483,5015.67519,0.01000,-1.70987,0.07023,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-18T13:00:00+00:00,2026-03-18T13:25:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,4859.56768,4861.26235,0.01000,-1.76271,0.06805,5,1.00000,"{'breakout_low': 4870.34, 'rebound_high': 4891.17, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-18T16:35:00+00:00,2026-03-18T17:00:00+00:00,16,17,xauusd_short_breakdown,take_profit,4880.23386,4888.06540,0.01000,7.76316,0.06838,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
