symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-11T13:40:00+00:00,2026-03-11T13:50:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5164.51428,5168.64594,0.01000,-4.20398,0.07233,2,0.59517,"{'breakout_low': 5167.38, 'rebound_high': 5180.87, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-11T14:35:00+00:00,2026-03-11T14:55:00+00:00,14,14,xauusd_short_breakdown,trailing_stop,5185.98732,5182.06288,0.01000,-3.99702,0.07258,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-12T13:45:00+00:00,2026-03-12T14:00:00+00:00,13,14,xauusd_short_breakdown,stop_loss,5150.58540,5162.50545,0.01000,-11.99224,0.07219,3,0.65822,"{'breakout_low': 5155.34, 'rebound_high': 5170.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-13T13:00:00+00:00,2026-03-13T13:25:00+00:00,13,13,xauusd_short_breakdown,stop_loss,5120.71210,5107.63884,0.01000,-13.14487,0.07160,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-13T14:10:00+00:00,2026-03-13T14:50:00+00:00,14,14,xauusd_short_breakdown,take_profit,5089.67027,5064.45760,0.01000,25.14159,0.07108,8,0.62359,"{'breakout_low': 5093.42, 'rebound_high': 5107.93, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-16T13:05:00+00:00,2026-03-16T13:25:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5020.96412,5020.48581,0.01000,-0.54861,0.07029,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-16T14:40:00+00:00,2026-03-16T15:15:00+00:00,14,15,xauusd_short_breakdown,trailing_stop,4999.89746,5004.96284,0.01000,-5.13542,0.07003,7,0.70410,"{'breakout_low': 5005.89, 'rebound_high': 5021.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-17T13:00:00+00:00,2026-03-17T13:50:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5017.29383,5011.54652,0.01000,-5.81751,0.07020,10,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-18T13:00:00+00:00,2026-03-18T14:30:00+00:00,13,14,xauusd_short_breakdown,time_stop,4859.58868,4862.14142,0.01000,-2.62079,0.06805,18,1.00000,"{'breakout_low': 4870.34, 'rebound_high': 4891.17, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-18T16:35:00+00:00,2026-03-18T17:20:00+00:00,16,17,xauusd_short_breakdown,take_profit,4880.21286,4895.66579,0.01000,15.38450,0.06843,9,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
