symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-11T13:40:00+00:00,2026-03-11T14:00:00+00:00,13,14,xauusd_short_breakdown,stop_loss,5164.39878,5185.42277,0.01000,-21.09643,0.07245,4,0.59517,"{'breakout_low': 5167.38, 'rebound_high': 5180.87, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-11T14:35:00+00:00,2026-03-11T14:55:00+00:00,14,14,xauusd_short_breakdown,trailing_stop,5186.10282,5181.94738,0.01000,-4.22802,0.07258,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-12T13:45:00+00:00,2026-03-12T14:00:00+00:00,13,14,xauusd_short_breakdown,stop_loss,5150.46990,5162.62095,0.01000,-12.22324,0.07219,3,0.65822,"{'breakout_low': 5155.34, 'rebound_high': 5170.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-13T13:00:00+00:00,2026-03-13T13:20:00+00:00,13,13,xauusd_short_breakdown,stale_breakout,5120.82760,5112.32295,0.01000,-8.57628,0.07163,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-13T14:10:00+00:00,2026-03-13T14:30:00+00:00,14,14,xauusd_short_breakdown,stale_breakout,5089.55477,5090.47518,0.01000,-0.99166,0.07126,4,0.62359,"{'breakout_low': 5093.42, 'rebound_high': 5107.93, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-16T13:05:00+00:00,2026-03-16T13:25:00+00:00,13,13,xauusd_short_breakdown,trailing_stop,5021.07962,5020.37031,0.01000,-0.77961,0.07029,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-16T14:40:00+00:00,2026-03-16T15:15:00+00:00,14,15,xauusd_short_breakdown,trailing_stop,4999.78196,5005.07834,0.01000,-5.36642,0.07003,7,0.70410,"{'breakout_low': 5005.89, 'rebound_high': 5021.32, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-17T13:00:00+00:00,2026-03-17T13:20:00+00:00,13,13,xauusd_short_breakdown,stale_breakout,5017.40933,5012.55093,0.01000,-4.92861,0.07021,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-18T13:00:00+00:00,2026-03-18T14:10:00+00:00,13,14,xauusd_short_breakdown,time_stop,4859.47318,4881.05842,0.01000,-21.65343,0.06818,14,1.00000,"{'breakout_low': 4870.34, 'rebound_high': 4891.17, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-18T16:35:00+00:00,2026-03-18T17:20:00+00:00,16,17,xauusd_short_breakdown,take_profit,4880.32836,4895.55029,0.01000,15.15350,0.06843,9,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
C:XAUUSD,2026-03-20T13:50:00+00:00,2026-03-20T14:25:00+00:00,13,14,xauusd_short_breakdown,take_profit,4620.48230,4558.75264,0.01000,61.66541,0.06425,7,1.00000,"{'breakout_low': 4636.2, 'rebound_high': 4664.86, 'position_intent': 'short_entry'}"
C:XAUUSD,2026-03-20T16:30:00+00:00,2026-03-20T16:40:00+00:00,16,16,xauusd_short_breakdown,trailing_stop,4581.25444,4580.00554,0.01000,-1.31303,0.06413,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
