symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-10-09T16:25:00+00:00,2025-10-09T16:55:00+00:00,16,16,momentum_confirmation,trailing_stop,431.96638,431.72954,0.10000,-0.53232,0.50864,6,1.00000,"{'momentum_5': 0.004652461151949394, 'momentum_20': 0.00835862713051605}"
TSLA,2025-10-13T15:15:00+00:00,2025-10-13T17:35:00+00:00,15,17,momentum_confirmation,take_profit,424.58490,429.53408,0.10000,-0.01362,0.50854,28,1.00000,"{'momentum_5': 0.005233370432641049, 'momentum_20': 0.0021511428064198146}"
TSLA,2025-10-14T15:35:00+00:00,2025-10-14T16:30:00+00:00,15,16,momentum_confirmation,take_profit,426.49528,431.31172,0.10000,-0.02693,0.50858,11,1.00000,"{'momentum_5': 0.004440256757552774, 'momentum_20': 0.015213561258987873}"
TSLA,2025-10-15T15:25:00+00:00,2025-10-15T15:35:00+00:00,15,15,momentum_confirmation,structure_exit,437.41747,434.56307,0.10000,-0.79416,0.50872,2,1.00000,"{'momentum_5': 0.0042597164016302536, 'momentum_20': 0.012689825793638088}"
TSLA,2025-10-17T15:40:00+00:00,2025-10-17T16:25:00+00:00,15,16,momentum_confirmation,take_profit,434.91196,438.68225,0.10000,-0.13171,0.50874,9,1.00000,"{'momentum_5': 0.004569047791218583, 'momentum_20': 0.006674507225506998}"
TSLA,2025-10-17T17:50:00+00:00,2025-10-20T15:00:00+00:00,17,15,momentum_confirmation,take_profit,439.43787,443.63136,0.10000,-0.08948,0.50883,2,1.00000,"{'momentum_5': 0.006390874106652067, 'momentum_20': 0.004435198097894499}"
TSLA,2025-10-21T15:45:00+00:00,2025-10-21T16:55:00+00:00,15,16,momentum_confirmation,stop_loss,447.98958,446.05077,0.10000,-0.70282,0.50894,14,1.00000,"{'momentum_5': 0.0042600896860987, 'momentum_20': 0.00987554112554112}"
TSLA,2025-10-23T15:00:00+00:00,2025-10-23T16:25:00+00:00,15,16,momentum_confirmation,take_profit,428.12561,436.26273,0.10000,0.30507,0.50864,17,1.00000,"{'momentum_5': 0.015419651753095787, 'momentum_20': 0.01072018890200721}"
TSLA,2025-10-23T17:15:00+00:00,2025-10-24T15:00:00+00:00,17,15,momentum_confirmation,structure_exit,446.25923,438.74223,0.10000,-1.26055,0.50885,9,1.00000,"{'momentum_5': 0.006348859785562544, 'momentum_20': 0.030963329251103344}"
TSLA,2025-10-27T15:10:00+00:00,2025-10-27T15:15:00+00:00,15,15,momentum_confirmation,take_profit,449.90316,453.43429,0.10000,-0.15592,0.50903,1,1.00000,"{'momentum_5': 0.005865963013484299, 'momentum_20': 0.016044814890108672}"
TSLA,2025-10-27T16:30:00+00:00,2025-10-28T15:05:00+00:00,16,15,momentum_confirmation,take_profit,457.92187,462.75743,0.10000,-0.02565,0.50921,19,1.00000,"{'momentum_5': 0.004013815789473796, 'momentum_20': 0.022981599615681025}"
TSLA,2025-10-28T16:00:00+00:00,2025-10-28T17:15:00+00:00,16,17,momentum_confirmation,stop_loss,465.99868,463.78442,0.10000,-0.73072,0.50930,15,1.00000,"{'momentum_5': 0.005374232599290041, 'momentum_20': 0.004918629297680388}"
TSLA,2025-10-29T17:55:00+00:00,2025-10-30T15:00:00+00:00,17,15,momentum_confirmation,stop_loss,461.33225,443.84121,0.10000,-2.25816,0.50905,1,1.00000,"{'momentum_5': 0.004311064688615529, 'momentum_20': 0.006250340878102056}"
TSLA,2025-10-30T16:55:00+00:00,2025-10-30T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,446.43927,444.79252,0.10000,-0.67359,0.50891,1,1.00000,"{'momentum_5': 0.003552172234599471, 'momentum_20': 0.005473959271940831}"
TSLA,2025-11-03T15:00:00+00:00,2025-11-03T16:30:00+00:00,15,16,momentum_confirmation,time_stop,471.19422,468.49448,0.10000,-0.77937,0.50940,18,1.00000,"{'momentum_5': 0.01683574357867479, 'momentum_20': 0.03552116762650015}"
TSLA,2025-11-05T16:25:00+00:00,2025-11-05T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,450.98018,450.19574,0.10000,-0.58746,0.50901,7,1.00000,"{'momentum_5': 0.008160264591481337, 'momentum_20': 0.00780287841501659}"
TSLA,2025-11-10T15:25:00+00:00,2025-11-10T16:15:00+00:00,15,16,momentum_confirmation,take_profit,444.88896,449.49008,0.10000,-0.04883,0.50894,10,1.00000,"{'momentum_5': 0.00939499841147362, 'momentum_20': 0.014270706753770623}"
TSLA,2025-11-14T15:00:00+00:00,2025-11-14T15:45:00+00:00,15,15,momentum_confirmation,take_profit,394.44387,404.56907,0.10000,0.50453,0.50799,9,1.00000,"{'momentum_5': 0.004137597392677161, 'momentum_20': 0.02738842767223515}"
TSLA,2025-11-14T16:40:00+00:00,2025-11-17T15:40:00+00:00,16,15,momentum_confirmation,take_profit,408.96178,416.05077,0.10000,0.20065,0.50825,24,1.00000,"{'momentum_5': 0.0076768572942467195, 'momentum_20': 0.03680600458965677}"
TSLA,2025-11-17T16:30:00+00:00,2025-11-17T17:10:00+00:00,16,17,momentum_confirmation,trailing_stop,419.77394,421.03578,0.10000,-0.38222,0.50841,8,1.00000,"{'momentum_5': 0.013842162006513226, 'momentum_20': 0.008361163835563845}"
TSLA,2025-11-18T16:30:00+00:00,2025-11-18T17:40:00+00:00,16,17,momentum_confirmation,take_profit,403.78074,407.56847,0.10000,-0.12934,0.50811,14,1.00000,"{'momentum_5': 0.003929175370536164, 'momentum_20': 0.013150629925211987}"
TSLA,2025-11-20T15:00:00+00:00,2025-11-20T15:10:00+00:00,15,15,momentum_confirmation,stop_loss,426.98528,423.82522,0.10000,-0.82451,0.50851,2,1.00000,"{'momentum_5': 0.014399534264803782, 'momentum_20': 0.032805680553539496}"
TSLA,2025-11-21T17:00:00+00:00,2025-11-24T15:00:00+00:00,17,15,momentum_confirmation,take_profit,399.74423,412.87051,0.10000,0.80450,0.50813,12,1.00000,"{'momentum_5': 0.01884379324163521, 'momentum_20': 0.0175271144151945}"
TSLA,2025-11-24T16:10:00+00:00,2025-11-24T17:50:00+00:00,16,17,momentum_confirmation,time_stop,419.47388,419.29232,0.10000,-0.52654,0.50839,20,1.00000,"{'momentum_5': 0.009483692381754727, 'momentum_20': 0.02442658589608926}"
TSLA,2025-11-25T16:40:00+00:00,2025-11-25T17:20:00+00:00,16,17,momentum_confirmation,take_profit,414.73293,418.64625,0.10000,-0.11700,0.50833,8,1.00000,"{'momentum_5': 0.010392433838362969, 'momentum_20': 0.014465274167405617}"
TSLA,2025-11-26T17:10:00+00:00,2025-11-26T17:15:00+00:00,17,17,momentum_confirmation,stop_loss,421.15421,419.76483,0.10000,-0.64735,0.50841,1,0.95764,"{'momentum_5': 0.00341987761265794, 'momentum_20': 0.0014031582952815924}"
TSLA,2025-11-28T15:55:00+00:00,2025-11-28T16:15:00+00:00,15,16,momentum_confirmation,take_profit,430.26604,431.86241,0.10000,-0.34898,0.50862,4,1.00000,"{'momentum_5': 0.006033676333021543, 'momentum_20': 0.007494496229331515}"
TSLA,2025-12-01T15:05:00+00:00,2025-12-01T15:30:00+00:00,15,15,momentum_confirmation,stop_loss,430.65611,426.66465,0.10000,-0.90772,0.50857,5,1.00000,"{'momentum_5': 0.008567329370772647, 'momentum_20': 0.015662963225060667}"
TSLA,2025-12-01T17:35:00+00:00,2025-12-01T17:50:00+00:00,17,17,momentum_confirmation,trailing_stop,429.84945,429.16415,0.10000,-0.57712,0.50859,3,0.73670,"{'momentum_5': 0.00348728605786075, 'momentum_20': 0.0006135040745052223}"
TSLA,2025-12-03T15:00:00+00:00,2025-12-03T16:30:00+00:00,15,16,momentum_confirmation,time_stop,441.48828,440.65685,0.10000,-0.59196,0.50882,18,1.00000,"{'momentum_5': 0.017683812510086883, 'momentum_20': 0.016678221573202423}"
TSLA,2025-12-04T15:00:00+00:00,2025-12-04T15:10:00+00:00,15,15,momentum_confirmation,stop_loss,451.95587,449.53008,0.10000,-0.75159,0.50901,2,1.00000,"{'momentum_5': 0.004341960205551443, 'momentum_20': 0.007077269384207385}"
TSLA,2025-12-05T15:35:00+00:00,2025-12-05T16:10:00+00:00,15,16,momentum_confirmation,structure_exit,458.04659,454.01918,0.10000,-0.91186,0.50912,7,1.00000,"{'momentum_5': 0.0037398462724387294, 'momentum_20': 0.013757913844246739}"
TSLA,2025-12-09T15:00:00+00:00,2025-12-09T15:55:00+00:00,15,15,momentum_confirmation,take_profit,443.66872,447.75043,0.10000,-0.10074,0.50891,11,1.00000,"{'momentum_5': 0.006923478537216532, 'momentum_20': 0.017515311015650292}"
TSLA,2025-12-09T16:45:00+00:00,2025-12-09T17:55:00+00:00,16,17,momentum_confirmation,take_profit,449.01479,451.63965,0.10000,-0.24652,0.50901,14,1.00000,"{'momentum_5': 0.003857334525939171, 'momentum_20': 0.011901407657023189}"
