symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-10-08T17:20:00+00:00,2025-10-08T17:40:00+00:00,17,17,stock_power_hour_continuation,stop_loss,436.20222,434.61306,0.10000,-0.66762,0.50871,4,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-08T19:40:00+00:00,2025-10-08T20:05:00+00:00,19,20,stock_power_hour_continuation,trailing_stop,437.74753,437.93240,0.10000,-0.49027,0.50876,5,1.00000,{'hour_of_day': 19.0}
TSLA,2025-10-09T18:40:00+00:00,2025-10-09T19:20:00+00:00,18,19,stock_power_hour_continuation,take_profit,432.59480,435.34291,0.10000,-0.23387,0.50868,8,1.00000,{'hour_of_day': 18.0}
TSLA,2025-10-13T17:00:00+00:00,2025-10-13T18:05:00+00:00,17,18,stock_power_hour_continuation,take_profit,428.83075,433.05337,0.10000,-0.08636,0.50862,13,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-13T19:25:00+00:00,2025-10-14T13:00:00+00:00,19,13,stock_power_hour_continuation,stop_loss,433.28664,426.11476,0.10000,-1.22578,0.50859,19,1.00000,{'hour_of_day': 19.0}
TSLA,2025-10-14T18:10:00+00:00,2025-10-14T18:50:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,433.19532,431.71364,0.10000,-0.65682,0.50865,8,1.00000,{'hour_of_day': 18.0}
TSLA,2025-10-15T18:40:00+00:00,2025-10-15T19:35:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,433.94667,433.08207,0.10000,-0.59513,0.50867,11,1.00000,{'hour_of_day': 18.0}
TSLA,2025-10-16T19:55:00+00:00,2025-10-17T13:00:00+00:00,19,13,stock_power_hour_continuation,stop_loss,428.67072,425.57637,0.10000,-0.81798,0.50854,13,1.00000,{'hour_of_day': 19.0}
TSLA,2025-10-17T17:50:00+00:00,2025-10-17T19:25:00+00:00,17,19,stock_power_hour_continuation,trailing_stop,439.43787,439.31212,0.10000,-0.52136,0.50879,19,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-20T18:20:00+00:00,2025-10-20T19:10:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,445.24903,445.40590,0.10000,-0.49322,0.50891,10,1.00000,{'hour_of_day': 18.0}
TSLA,2025-10-21T19:15:00+00:00,2025-10-21T19:20:00+00:00,19,19,stock_power_hour_continuation,stop_loss,446.13911,445.38091,0.10000,-0.58474,0.50892,1,1.00000,{'hour_of_day': 19.0}
TSLA,2025-10-22T18:50:00+00:00,2025-10-22T19:55:00+00:00,18,19,stock_power_hour_continuation,take_profit,435.17702,438.63226,0.10000,-0.16321,0.50874,13,1.00000,{'hour_of_day': 18.0}
TSLA,2025-10-23T17:00:00+00:00,2025-10-23T18:00:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,444.22883,444.03118,0.10000,-0.52865,0.50888,12,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-23T19:40:00+00:00,2025-10-23T20:05:00+00:00,19,20,stock_power_hour_continuation,stale_breakout,448.22963,447.61046,0.10000,-0.57088,0.50896,5,1.00000,{'hour_of_day': 19.0}
TSLA,2025-10-27T17:40:00+00:00,2025-10-27T18:05:00+00:00,17,18,stock_power_hour_continuation,trailing_stop,459.00678,457.97339,0.10000,-0.61251,0.50917,5,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-29T17:05:00+00:00,2025-10-29T17:25:00+00:00,17,17,stock_power_hour_continuation,stale_breakout,461.18722,458.90820,0.10000,-0.73710,0.50920,4,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-30T17:25:00+00:00,2025-10-30T17:40:00+00:00,17,17,stock_power_hour_continuation,stop_loss,445.96908,444.54457,0.10000,-0.65136,0.50891,3,1.00000,{'hour_of_day': 17.0}
TSLA,2025-10-31T18:25:00+00:00,2025-10-31T19:55:00+00:00,18,19,stock_power_hour_continuation,take_profit,452.52049,456.41870,0.10000,-0.11927,0.50909,18,1.00000,{'hour_of_day': 18.0}
TSLA,2025-11-05T17:20:00+00:00,2025-11-05T18:10:00+00:00,17,18,stock_power_hour_continuation,take_profit,452.57550,455.35951,0.10000,-0.23068,0.50908,10,1.00000,{'hour_of_day': 17.0}
TSLA,2025-11-05T19:00:00+00:00,2025-11-05T20:20:00+00:00,19,20,stock_power_hour_continuation,trailing_stop,462.87756,462.20754,0.10000,-0.57625,0.50925,16,1.00000,{'hour_of_day': 19.0}
