symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-13T13:55:00+00:00,2025-10-13T14:20:00+00:00,13,14,momentum_confirmation,stop_loss,601.95131,599.11875,0.10000,-0.28326,0.00000,5,1.00000,"{'momentum_5': 0.005149812734082326, 'momentum_20': 0.002484699918288369}"
QQQ,2025-10-14T14:30:00+00:00,2025-10-14T15:50:00+00:00,14,15,momentum_confirmation,take_profit,597.55109,598.88877,0.10000,0.13377,0.00000,16,1.00000,"{'momentum_5': 0.0046633781713496525, 'momentum_20': 0.003413313604492707}"
QQQ,2025-10-17T13:50:00+00:00,2025-10-17T15:10:00+00:00,13,15,momentum_confirmation,structure_exit,601.43128,597.22885,0.10000,-0.42024,0.00000,16,1.00000,"{'momentum_5': 0.004549103559004619, 'momentum_20': 0.00367622485127983}"
QQQ,2025-10-17T18:05:00+00:00,2025-10-17T19:30:00+00:00,18,19,momentum_confirmation,trailing_stop,604.25142,603.58853,0.10000,-0.06629,0.00000,17,0.84392,"{'momentum_5': 0.004575742124378168, 'momentum_20': 0.0007630183686597736}"
QQQ,2025-10-20T13:50:00+00:00,2025-10-20T13:55:00+00:00,13,13,momentum_confirmation,stop_loss,610.63174,608.83827,0.10000,-0.17935,0.00000,1,1.00000,"{'momentum_5': 0.004430536111339922, 'momentum_20': 0.005523586538937142}"
QQQ,2025-10-23T13:40:00+00:00,2025-10-23T14:05:00+00:00,13,14,momentum_confirmation,trailing_stop,607.53159,606.70837,0.10000,-0.08232,0.00000,5,1.00000,"{'momentum_5': 0.0041041935590639955, 'momentum_20': 0.005202120609675287}"
QQQ,2025-11-04T14:50:00+00:00,2025-11-04T16:15:00+00:00,14,16,momentum_confirmation,stop_loss,626.75255,622.96756,0.10000,-0.37850,0.00000,17,1.00000,"{'momentum_5': 0.004364289840190105, 'momentum_20': 0.004170944558521628}"
QQQ,2025-11-05T14:50:00+00:00,2025-11-05T16:20:00+00:00,14,16,momentum_confirmation,time_stop,622.34233,621.81762,0.10000,-0.05247,0.00000,18,1.00000,"{'momentum_5': 0.004915037752016849, 'momentum_20': 0.00574156996655506}"
QQQ,2025-11-07T18:10:00+00:00,2025-11-07T18:45:00+00:00,18,18,momentum_confirmation,trailing_stop,603.49139,602.19860,0.10000,-0.12928,0.00000,7,1.00000,"{'momentum_5': 0.004081632653061273, 'momentum_20': 0.002344958339570047}"
QQQ,2025-11-07T19:45:00+00:00,2025-11-07T20:20:00+00:00,19,20,momentum_confirmation,stop_loss,608.33163,606.01341,0.10000,-0.23182,0.00000,7,1.00000,"{'momentum_5': 0.004571948245215118, 'momentum_20': 0.008799305659680678}"
QQQ,2025-11-14T14:45:00+00:00,2025-11-14T15:45:00+00:00,14,15,momentum_confirmation,take_profit,604.54144,609.13815,0.10000,0.45967,0.00000,12,1.00000,"{'momentum_5': 0.005747126436781658, 'momentum_20': 0.0064177362893815815}"
