symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-16T14:40:00+00:00,2025-10-16T14:55:00+00:00,14,14,opening_range_breakout,stop_loss,608.62040,606.05867,0.10000,-0.25617,0.00000,3,0.73780,"{'range_high': 607.02, 'breakout_high': 607.02}"
QQQ,2025-10-20T14:40:00+00:00,2025-10-20T15:10:00+00:00,14,15,opening_range_breakout,stop_loss,611.95057,610.75444,0.10000,-0.11961,0.00000,6,0.83683,"{'range_high': 610.07, 'breakout_high': 610.07}"
QQQ,2025-11-10T14:40:00+00:00,2025-11-10T14:50:00+00:00,14,14,opening_range_breakout,stop_loss,621.65106,620.18896,0.10000,-0.14621,0.00000,2,0.96091,"{'range_high': 619.4, 'breakout_high': 619.4}"
QQQ,2025-11-14T14:40:00+00:00,2025-11-14T15:40:00+00:00,14,15,opening_range_breakout,take_profit,602.81011,608.02947,0.10000,0.52194,0.00000,12,1.00000,"{'range_high': 599.92, 'breakout_high': 599.92}"
QQQ,2025-11-24T14:40:00+00:00,2025-11-24T17:35:00+00:00,14,17,opening_range_breakout,take_profit,598.24989,604.41975,0.10000,0.61699,0.00000,35,0.89979,"{'range_high': 596.23, 'breakout_high': 596.23}"
QQQ,2025-12-02T14:40:00+00:00,2025-12-02T14:50:00+00:00,14,14,opening_range_breakout,stop_loss,622.47110,620.77693,0.10000,-0.16942,0.00000,2,1.00000,"{'range_high': 619.98, 'breakout_high': 619.98}"
QQQ,2025-12-19T14:40:00+00:00,2025-12-19T16:20:00+00:00,14,16,opening_range_breakout,stale_breakout,616.89582,615.51120,0.10000,-0.13846,0.00000,20,1.00000,"{'range_high': 611.5, 'breakout_high': 611.5}"
QQQ,2026-01-07T14:40:00+00:00,2026-01-07T18:20:00+00:00,14,18,opening_range_breakout,trailing_stop,625.08123,626.06267,0.10000,0.09814,0.00000,44,0.86196,"{'range_high': 623.1, 'breakout_high': 623.1}"
QQQ,2026-01-12T14:40:00+00:00,2026-01-12T20:55:00+00:00,14,20,opening_range_breakout,trailing_stop,625.37124,626.65864,0.10000,0.12874,0.00000,75,1.00000,"{'range_high': 622.63, 'breakout_high': 622.63}"
QQQ,2026-01-21T14:15:00+00:00,2026-01-21T14:30:00+00:00,14,14,opening_range_breakout,stop_loss,610.57590,608.17956,0.10000,-0.23963,0.00000,3,1.00000,"{'range_high': 607.79, 'breakout_high': 607.79}"
QQQ,2026-01-26T14:40:00+00:00,2026-01-26T20:55:00+00:00,14,20,opening_range_breakout,stale_breakout,625.34624,624.94873,0.10000,-0.03975,0.00000,75,1.00000,"{'range_high': 622.53, 'breakout_high': 622.53}"
QQQ,2026-02-02T14:40:00+00:00,2026-02-02T15:15:00+00:00,14,15,opening_range_breakout,take_profit,623.50615,626.85863,0.10000,0.33525,0.00000,7,1.00000,"{'range_high': 618.61, 'breakout_high': 618.61}"
QQQ,2026-02-06T14:40:00+00:00,2026-02-06T15:00:00+00:00,14,15,opening_range_breakout,stop_loss,604.76021,600.65994,0.10000,-0.41003,0.00000,4,1.00000,"{'range_high': 602.4, 'breakout_high': 602.4}"
QQQ,2026-02-25T14:40:00+00:00,2026-02-25T15:50:00+00:00,14,15,opening_range_breakout,trailing_stop,614.28069,613.52930,0.10000,-0.07514,0.00000,14,1.00000,"{'range_high': 611.21, 'breakout_high': 611.21}"
QQQ,2026-03-02T14:40:00+00:00,2026-03-02T15:30:00+00:00,14,15,opening_range_breakout,trailing_stop,604.13018,603.78978,0.10000,-0.03404,0.00000,10,1.00000,"{'range_high': 600.46, 'breakout_high': 600.46}"
QQQ,2026-03-23T14:15:00+00:00,2026-03-23T14:40:00+00:00,14,14,opening_range_breakout,stop_loss,594.51470,592.49035,0.10000,-0.20244,0.00000,5,0.65227,"{'range_high': 593.17, 'breakout_high': 593.17}"
QQQ,2026-04-02T14:40:00+00:00,2026-04-02T16:10:00+00:00,14,16,opening_range_breakout,stop_loss,585.01922,581.76099,0.10000,-0.32582,0.00000,18,1.00000,"{'range_high': 577.43, 'breakout_high': 577.43}"
