symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-08T13:50:00+00:00,2025-10-08T14:40:00+00:00,13,14,momentum_confirmation,trailing_stop,607.87537,607.60959,0.10000,-0.02658,0.00000,10,1.00000,"{'momentum_5': 0.0032127518995705984, 'momentum_20': 0.00440728980617866}"
QQQ,2025-10-13T13:55:00+00:00,2025-10-13T14:20:00+00:00,13,14,momentum_confirmation,stop_loss,601.69006,599.38000,0.10000,-0.23101,0.00000,5,1.00000,"{'momentum_5': 0.005149812734082326, 'momentum_20': 0.002484699918288369}"
QQQ,2025-10-14T14:30:00+00:00,2025-10-14T16:05:00+00:00,14,16,momentum_confirmation,trailing_stop,597.28984,597.81008,0.10000,0.05202,0.00000,19,1.00000,"{'momentum_5': 0.0046633781713496525, 'momentum_20': 0.003413313604492707}"
QQQ,2025-10-16T14:35:00+00:00,2025-10-16T15:20:00+00:00,14,15,momentum_confirmation,stale_breakout,607.60035,605.52970,0.10000,-0.20707,0.00000,9,0.81311,"{'momentum_5': 0.003321984596569072, 'momentum_20': 0.0018814054428730742}"
QQQ,2025-10-17T13:50:00+00:00,2025-10-17T15:10:00+00:00,13,15,momentum_confirmation,stale_breakout,601.17003,597.49010,0.10000,-0.36799,0.00000,16,1.00000,"{'momentum_5': 0.004549103559004619, 'momentum_20': 0.00367622485127983}"
QQQ,2025-10-17T16:10:00+00:00,2025-10-17T16:15:00+00:00,16,16,momentum_confirmation,stop_loss,602.78011,601.56989,0.10000,-0.12102,0.00000,1,0.87896,"{'momentum_5': 0.00345732494689055, 'momentum_20': 0.0023967643681030992}"
QQQ,2025-10-17T18:05:00+00:00,2025-10-17T19:30:00+00:00,18,19,momentum_confirmation,trailing_stop,603.99017,603.84978,0.10000,-0.01404,0.00000,17,0.84392,"{'momentum_5': 0.004575742124378168, 'momentum_20': 0.0007630183686597736}"
QQQ,2025-10-20T13:45:00+00:00,2025-10-20T19:15:00+00:00,13,19,momentum_confirmation,trailing_stop,610.15048,611.15942,0.10000,0.10089,0.00000,66,1.00000,"{'momentum_5': 0.0032585083272991255, 'momentum_20': 0.005426088103837712}"
QQQ,2025-10-23T13:35:00+00:00,2025-10-23T14:15:00+00:00,13,14,momentum_confirmation,trailing_stop,606.71021,606.26966,0.10000,-0.04405,0.00000,8,1.00000,"{'momentum_5': 0.003658956570690597, 'momentum_20': 0.0037586726498981538}"
QQQ,2025-10-23T16:05:00+00:00,2025-10-23T16:20:00+00:00,16,16,momentum_confirmation,stop_loss,610.14048,608.91963,0.10000,-0.12209,0.00000,3,0.98611,"{'momentum_5': 0.003324610345792456, 'momentum_20': 0.0025903114129943727}"
