symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T17:20:00+00:00,2026-03-09T17:40:00+00:00,17,17,us500_short_vwap_reject,stop_loss,669.34745,667.89259,0.10000,-0.14549,0.00000,4,0.57220,"{'trend_strength': 0.00153273120298425, 'momentum_20': 0.0007628906074703679, 'vwap_distance': 0.0025225431191311376, 'session_position': 0.6724137931034468, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-11T16:00:00+00:00,2026-03-11T16:30:00+00:00,16,16,us500_short_vwap_reject,take_profit,674.00168,675.46221,0.10000,0.14605,0.00000,6,0.73724,"{'trend_strength': -0.0025326835705147266, 'momentum_20': -0.003632437548992118, 'vwap_distance': -0.004498463883197634, 'session_position': 0.017484662576691883, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-13T17:45:00+00:00,2026-03-13T18:20:00+00:00,17,18,us500_short_vwap_reject,stale_breakout,662.79712,662.37287,0.10000,-0.04243,0.00000,7,0.55176,"{'trend_strength': -0.00014692000838445463, 'momentum_20': -0.0029799081947475825, 'vwap_distance': -0.006051602571089387, 'session_position': 0.0070457976849571825, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-19T17:05:00+00:00,2026-03-19T17:35:00+00:00,17,17,us500_short_vwap_reject,trailing_stop,656.18179,655.97318,0.10000,-0.02086,0.00000,6,0.64991,"{'trend_strength': -0.0003870864575911126, 'momentum_20': -0.0028355531229095066, 'vwap_distance': -0.002528499738136736, 'session_position': 0.1261510128913538, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-20T17:45:00+00:00,2026-03-20T18:10:00+00:00,17,18,us500_short_vwap_reject,stale_breakout,651.14654,650.26347,0.10000,-0.08831,0.00000,5,0.57074,"{'trend_strength': -0.0008389869594512822, 'momentum_20': -0.003597838235068873, 'vwap_distance': -0.0030583566487457636, 'session_position': 0.03071672354949865, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T16:00:00+00:00,2026-03-23T16:25:00+00:00,16,16,us500_short_vwap_reject,stale_breakout,656.81682,653.78209,0.10000,-0.30347,0.00000,5,0.86066,"{'trend_strength': -0.0013059369377899088, 'momentum_20': -0.008038560916274973, 'vwap_distance': -0.004412624854124303, 'session_position': 0.699238890252885, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-23T17:25:00+00:00,2026-03-23T17:35:00+00:00,17,17,us500_short_vwap_reject,take_profit,655.60676,657.49311,0.10000,0.18863,0.00000,2,0.58353,"{'trend_strength': -0.0029537795387586385, 'momentum_20': -0.005207147303062154, 'vwap_distance': -0.005021873401687693, 'session_position': 0.639823226123249, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-24T17:05:00+00:00,2026-03-24T17:30:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,653.34665,652.63335,0.10000,-0.07133,0.00000,5,0.63213,"{'trend_strength': -0.0003838495489274507, 'momentum_20': -0.0046033778428143934, 'vwap_distance': -0.0010406135254971138, 'session_position': 0.4343015214384479, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-24T17:50:00+00:00,2026-03-24T18:35:00+00:00,17,18,us500_short_vwap_reject,take_profit,653.47666,656.18317,0.10000,0.27065,0.00000,9,0.56190,"{'trend_strength': -0.002464751080763272, 'momentum_20': -0.0028244274809160475, 'vwap_distance': -0.0007261190330175582, 'session_position': 0.4522821576763449, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-26T16:15:00+00:00,2026-03-26T16:35:00+00:00,16,16,us500_short_vwap_reject,stop_loss,651.14654,648.80354,0.10000,-0.23430,0.00000,4,0.60287,"{'trend_strength': -0.0017506878778763557, 'momentum_20': -0.004512290254982565, 'vwap_distance': -0.0027355892194140807, 'session_position': 0.19560878243513372, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
SPY,2026-03-26T17:20:00+00:00,2026-03-26T17:45:00+00:00,17,17,us500_short_vwap_reject,stale_breakout,648.65642,647.25362,0.10000,-0.14028,0.00000,5,0.72020,"{'trend_strength': -0.0022016055967657433, 'momentum_20': -0.0044378243911427084, 'vwap_distance': -0.005717349395371718, 'session_position': 0.009118541033443579, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-26T17:50:00+00:00,2026-03-26T17:55:00+00:00,17,17,us500_short_vwap_reject,stop_loss,647.44636,646.34367,0.10000,-0.11027,0.00000,1,0.74678,"{'trend_strength': -0.002137632774949827, 'momentum_20': -0.006478951085454598, 'vwap_distance': -0.006953911648976963, 'session_position': 0.008974358974365309, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-27T17:20:00+00:00,2026-03-27T17:25:00+00:00,17,17,us500_short_vwap_reject,stop_loss,637.90588,636.29417,0.10000,-0.16117,0.00000,1,0.60973,"{'trend_strength': -0.0016378409269476313, 'momentum_20': -0.004854141628556685, 'vwap_distance': -0.003569479357467098, 'session_position': 0.016791044776125297, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-27T17:40:00+00:00,2026-03-27T18:00:00+00:00,17,18,us500_short_vwap_reject,stop_loss,636.80582,635.54921,0.10000,-0.12566,0.00000,4,0.74295,"{'trend_strength': -0.002197861231715059, 'momentum_20': -0.005468920903778263, 'vwap_distance': -0.004955434511899726, 'session_position': 0.011045029736618153, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-30T17:00:00+00:00,2026-03-30T17:20:00+00:00,17,17,us500_short_vwap_reject,stop_loss,635.20574,633.38691,0.10000,-0.18188,0.00000,4,0.55396,"{'trend_strength': -0.0014215213773378643, 'momentum_20': -0.0029837620528282427, 'vwap_distance': -0.002660583829147467, 'session_position': 0.1244019138755941, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-30T17:25:00+00:00,2026-03-30T17:30:00+00:00,17,17,us500_short_vwap_reject,stop_loss,633.72567,632.59935,0.10000,-0.11263,0.00000,1,0.74598,"{'trend_strength': -0.0021160267059580073, 'momentum_20': -0.00688314335439566, 'vwap_distance': -0.004661271448090698, 'session_position': 0.02244039270686792, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
SPY,2026-03-30T17:35:00+00:00,2026-03-30T18:00:00+00:00,17,18,us500_short_vwap_reject,stale_breakout,633.94568,632.96434,0.10000,-0.09813,0.00000,5,0.67612,"{'trend_strength': -0.00235893354779948, 'momentum_20': -0.005836759029717253, 'vwap_distance': -0.004078606140500707, 'session_position': 0.11879895561357336, 'hour_of_day': 17.0, 'position_intent': 'short_exit'}"
