symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T01:30:00+00:00,2025-07-23T01:45:00+00:00,1,1,forex_breakout_momentum,stop_loss,146.74887,146.60914,0.10000,-1397.80033,0.50000,3,0.96173,{'breakout_high': 146.706}
C:USDJPY,2025-07-23T05:15:00+00:00,2025-07-23T06:10:00+00:00,5,6,forex_breakout_momentum,trailing_stop,146.77887,146.85613,0.10000,772.10355,0.50000,11,1.00000,{'breakout_high': 146.702}
C:USDJPY,2025-07-23T07:20:00+00:00,2025-07-23T07:45:00+00:00,7,7,forex_breakout_momentum,structure_exit,147.06288,146.94113,0.10000,-1218.02450,0.50000,5,1.00000,{'breakout_high': 147.038}
C:USDJPY,2025-07-23T15:35:00+00:00,2025-07-23T16:30:00+00:00,15,16,forex_breakout_momentum,take_profit,146.47786,146.67513,0.10000,1972.27081,0.50000,11,0.84006,{'breakout_high': 146.438}
C:USDJPY,2025-07-23T18:40:00+00:00,2025-07-23T19:05:00+00:00,18,19,forex_breakout_momentum,trailing_stop,146.48686,146.47114,0.10000,-157.66152,0.50000,5,1.00000,{'breakout_high': 146.444}
C:USDJPY,2025-07-24T09:10:00+00:00,2025-07-24T10:10:00+00:00,9,10,forex_breakout_momentum,trailing_stop,146.21985,146.13515,0.10000,-847.45227,0.50000,12,1.00000,{'breakout_high': 146.158}
C:USDJPY,2025-07-24T15:30:00+00:00,2025-07-24T16:35:00+00:00,15,16,forex_breakout_momentum,trailing_stop,146.66986,146.64814,0.10000,-217.78645,0.50000,13,1.00000,{'breakout_high': 146.587}
C:USDJPY,2025-07-24T18:00:00+00:00,2025-07-24T19:40:00+00:00,18,19,forex_breakout_momentum,structure_exit,146.87087,146.78513,0.10000,-857.90374,0.50000,20,1.00000,{'breakout_high': 146.813}
C:USDJPY,2025-07-25T01:00:00+00:00,2025-07-25T02:00:00+00:00,1,2,forex_breakout_momentum,signal_exit,147.17188,147.00912,0.10000,-1628.08592,0.50000,12,1.00000,{'breakout_high': 147.075}
C:USDJPY,2025-07-25T03:00:00+00:00,2025-07-25T06:40:00+00:00,3,6,forex_breakout_momentum,trailing_stop,147.17088,147.27111,0.10000,1001.82351,0.50000,44,1.00000,{'breakout_high': 147.111}
C:USDJPY,2025-07-25T10:30:00+00:00,2025-07-25T11:00:00+00:00,10,11,forex_breakout_momentum,take_profit,147.26889,147.46511,0.10000,1961.72218,0.50000,6,1.00000,{'breakout_high': 147.214}
C:USDJPY,2025-07-25T14:20:00+00:00,2025-07-25T14:35:00+00:00,14,14,forex_breakout_momentum,signal_exit,147.91791,147.82309,0.10000,-948.62727,0.50000,3,1.00000,{'breakout_high': 147.839}
C:USDJPY,2025-07-25T15:35:00+00:00,2025-07-25T16:00:00+00:00,15,16,forex_breakout_momentum,signal_exit,147.85691,147.82409,0.10000,-328.60645,0.50000,5,1.00000,{'breakout_high': 147.791}
C:USDJPY,2025-07-28T01:05:00+00:00,2025-07-28T02:05:00+00:00,1,2,forex_breakout_momentum,trailing_stop,147.73290,147.73810,0.10000,51.46643,0.50000,12,0.85943,{'breakout_high': 147.693}
C:USDJPY,2025-07-28T04:55:00+00:00,2025-07-28T05:20:00+00:00,4,5,forex_breakout_momentum,trailing_stop,147.87191,147.88309,0.10000,111.36787,0.50000,5,0.84294,{'breakout_high': 147.857}
C:USDJPY,2025-07-28T08:55:00+00:00,2025-07-28T09:20:00+00:00,8,9,forex_breakout_momentum,take_profit,147.85991,148.07709,0.10000,2171.30472,0.50000,5,1.00000,{'breakout_high': 147.845}
C:USDJPY,2025-07-28T10:40:00+00:00,2025-07-28T11:00:00+00:00,10,11,forex_breakout_momentum,take_profit,148.15292,148.31208,0.10000,1591.12149,0.50000,4,1.00000,{'breakout_high': 148.096}
C:USDJPY,2025-07-28T16:40:00+00:00,2025-07-28T17:05:00+00:00,16,17,forex_breakout_momentum,trailing_stop,148.20592,148.21108,0.10000,51.13815,0.50000,5,0.97527,{'breakout_high': 148.182}
C:USDJPY,2025-07-28T18:05:00+00:00,2025-07-28T20:05:00+00:00,18,20,forex_breakout_momentum,trailing_stop,148.34592,148.42007,0.10000,741.01704,0.50000,24,1.00000,{'breakout_high': 148.308}
C:USDJPY,2025-07-29T03:25:00+00:00,2025-07-29T03:50:00+00:00,3,3,forex_breakout_momentum,structure_exit,148.60893,148.49507,0.10000,-1139.10025,0.50000,5,0.88015,{'breakout_high': 148.576}
C:USDJPY,2025-07-29T04:50:00+00:00,2025-07-29T05:00:00+00:00,4,5,forex_breakout_momentum,signal_exit,148.64393,148.49807,0.10000,-1459.11344,0.50000,2,0.89635,{'breakout_high': 148.623}
C:USDJPY,2025-07-29T07:30:00+00:00,2025-07-29T07:45:00+00:00,7,7,forex_breakout_momentum,stop_loss,148.47693,148.35608,0.10000,-1209.00621,0.50000,3,1.00000,{'breakout_high': 148.454}
