symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-10-14T14:45:00+00:00,2025-10-14T15:00:00+00:00,14,15,forex_range_reversion,signal_exit,151.84204,151.83996,0.10000,-21.38293,0.50000,1,0.84858,{'mean_level': 151.9908}
C:USDJPY,2025-11-10T13:30:00+00:00,2025-11-10T13:45:00+00:00,13,13,forex_range_reversion,signal_exit,154.04312,154.04988,0.10000,67.08637,0.50000,1,0.79693,{'mean_level': 154.13425}
C:USDJPY,2025-12-18T13:00:00+00:00,2025-12-18T13:30:00+00:00,13,13,forex_range_reversion,structure_exit,155.74718,155.56983,0.10000,-1774.03241,0.50000,2,0.70094,{'mean_level': 155.8456}
C:USDJPY,2026-01-07T14:45:00+00:00,2026-01-07T15:00:00+00:00,14,15,forex_range_reversion,take_profit,156.40320,156.64279,0.10000,2395.36760,0.50000,1,0.76474,{'mean_level': 156.49335000000002}
C:USDJPY,2026-01-09T13:00:00+00:00,2026-01-09T13:30:00+00:00,13,13,forex_range_reversion,structure_exit,157.57624,157.38876,0.10000,-1875.29833,0.50000,2,0.71167,{'mean_level': 157.63595}
C:USDJPY,2026-02-13T12:45:00+00:00,2026-02-13T13:00:00+00:00,12,13,forex_range_reversion,signal_exit,153.25309,153.26791,0.10000,147.63188,0.50000,1,0.70505,{'mean_level': 153.43865}
C:USDJPY,2026-02-23T14:45:00+00:00,2026-02-23T15:00:00+00:00,14,15,forex_range_reversion,stop_loss,154.55614,154.37687,0.10000,-1793.20512,0.50000,1,0.73884,{'mean_level': 154.798}
C:USDJPY,2026-03-06T14:45:00+00:00,2026-03-06T15:00:00+00:00,14,15,forex_range_reversion,signal_exit,157.67725,157.61775,0.10000,-595.41285,0.50000,1,0.71166,{'mean_level': 157.86555}
C:USDJPY,2026-03-13T13:00:00+00:00,2026-03-13T13:15:00+00:00,13,13,forex_range_reversion,signal_exit,159.28230,159.27470,0.10000,-76.54482,0.50000,1,0.70577,{'mean_level': 159.38745}
C:USDJPY,2026-03-27T15:15:00+00:00,2026-03-27T15:30:00+00:00,15,15,forex_range_reversion,signal_exit,159.82332,159.79768,0.10000,-256.91404,0.50000,1,0.76997,{'mean_level': 159.87635}
C:USDJPY,2026-04-03T13:30:00+00:00,2026-04-03T15:45:00+00:00,13,15,forex_range_reversion,take_profit,159.53131,159.61469,0.10000,833.25079,0.50000,9,0.79725,{'mean_level': 159.57170000000002}
