name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_trend_continuation__5m_europe,Forex trend continuation [5m_europe],single,13.89902,6,16.66667,1.00734,1.21871,3.00000,2.31650,1907.22240,-378.66468,5.03671,5.50000,structure_exit,33.33333,1,0.00000,0.00000,trend_flat_vol_low,13.89902,trend_flat_vol_low,13.89902,100.00000,,2,0.00000,0.00000,-674.61138,0.00000,0.00000,688.51039,0.00000,0.00000,0,-674.61138,0.00000,3,artifacts\usdjpy_forex_trend_continuation__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__5m_europe_5m_europe_symbol_candidate_analysis.txt
forex_range_reversion__5m_europe,Forex range reversion [5m_europe],single,-10025.75730,49,18.36735,0.40293,10.02576,24.50000,-204.60729,751.75206,-419.78815,1.79079,2.75510,signal_exit,53.06122,1,0.00000,0.00000,trend_flat_vol_mid,1841.84502,trend_flat_vol_low,-11867.60232,97.95918,,2,0.00000,-6781.84933,-2936.72402,0.23402,0.43830,-8092.28081,-4655.11955,0.32416,15,-4008.35299,0.33174,14,artifacts\usdjpy_forex_range_reversion__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_range_reversion__5m_europe_5m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__5m_europe,Forex breakout momentum [5m_europe],single,83981.23330,65,33.84615,3.03950,10.19299,32.50000,1292.01897,5689.02948,-957.61431,5.94084,534.30769,trailing_stop,29.23077,1,0.00000,0.00000,trend_flat_vol_low,82227.87258,trend_flat_vol_mid,1753.36072,96.92308,,2,0.00000,-6473.59677,-1573.65229,0.56177,0.92876,71549.02495,-3572.41184,0.82038,31,-6163.50363,0.70211,37,artifacts\usdjpy_forex_breakout_momentum__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__5m_europe_5m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__5m_europe,Forex short trend continuation [5m_europe],single,-1313.97314,7,28.57143,0.52772,1.31397,3.50000,-187.71045,734.11139,-556.43919,1.31930,5.00000,structure_exit,28.57143,1,0.00000,0.00000,trend_flat_vol_low,-1313.97314,trend_flat_vol_low,-1313.97314,100.00000,,2,0.00000,-189.71642,-562.97366,499.50000,0.00000,469.87695,-1125.94732,0.00000,2,0.00000,0.00000,0,artifacts\usdjpy_forex_short_trend_continuation__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__5m_europe_5m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__5m_europe,Forex short breakdown momentum [5m_europe],single,-9422.76129,16,25.00000,0.32351,10.02973,8.25000,-588.92258,1126.54312,-1160.74448,0.97053,6.68750,trailing_stop,37.50000,1,0.00000,0.00000,trend_flat_vol_mid,-1977.96898,trend_flat_vol_low,-7444.79231,93.75000,,2,50.00000,16135.75709,1043.36336,1.89849,0.96826,-8563.36024,41299.17452,3.55147,34,2500.17531,1.11724,44,artifacts\usdjpy_forex_short_breakdown_momentum__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__5m_europe_5m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__5m_europe__exit_trend,Forex trend continuation [5m_europe] with trend-runner exits,entry_exit_family,883.86883,6,16.66667,1.49563,1.21871,3.00000,147.31147,2667.19603,-356.66544,7.47815,8.33333,signal_exit,33.33333,1,0.00000,0.00000,trend_flat_vol_low,883.86883,trend_flat_vol_low,883.86883,100.00000,,2,0.00000,0.00000,-564.61519,0.00000,0.00000,1448.48402,0.00000,0.00000,0,-564.61519,0.00000,3,artifacts\usdjpy_forex_trend_continuation__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__5m_europe__exit_fastfail,Forex trend continuation [5m_europe] with fast-fail exits,entry_exit_family,-246.09196,6,16.66667,0.87138,1.19871,3.00000,-41.01533,1667.23073,-382.66454,4.35690,4.16667,structure_exit,33.33333,1,0.00000,0.00000,trend_flat_vol_low,-246.09196,trend_flat_vol_low,-246.09196,100.00000,,2,0.00000,0.00000,-714.60999,0.00000,0.00000,468.51803,0.00000,0.00000,0,-714.60999,0.00000,3,artifacts\usdjpy_forex_trend_continuation__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
forex_range_reversion__5m_europe__exit_quick,Forex range reversion [5m_europe] with quick-fail mean reversion exits,entry_exit_family,42828.99747,50,20.00000,3.67823,10.27523,25.00000,856.57995,5882.05511,-399.78884,14.71290,451.10000,signal_exit,44.00000,1,0.00000,0.00000,trend_flat_vol_low,40987.15244,trend_flat_vol_mid,1841.84502,98.00000,,2,0.00000,-5236.90294,-2806.72853,0.28205,0.42917,-8282.27421,-2935.17923,0.43204,15,-4178.34709,0.24961,14,artifacts\usdjpy_forex_range_reversion__5m_europe__exit_quick_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_range_reversion__5m_europe__exit_quick_5m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__5m_europe__exit_trend,Forex breakout momentum [5m_europe] with trend-runner exits,entry_exit_family,78893.09380,63,25.39683,2.94955,10.56113,31.50000,1252.27133,7460.02912,-861.00792,8.66430,561.80952,trailing_stop,34.92063,1,0.00000,0.00000,trend_flat_vol_low,79269.65916,trend_flat_vol_mid,-376.56536,96.82540,,2,0.00000,-8328.53947,-5718.50845,0.46438,0.74272,78057.37183,-9638.37221,0.38272,21,-9913.37349,0.55824,37,artifacts\usdjpy_forex_breakout_momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__5m_europe__exit_fastfail,Forex breakout momentum [5m_europe] with fast-fail exits,entry_exit_family,76214.17552,62,32.25806,3.06352,10.43005,31.00000,1229.26090,5657.40823,-879.38069,6.43340,571.54839,structure_exit,27.41935,1,0.00000,0.00000,trend_flat_vol_low,74230.82278,trend_flat_vol_mid,1983.35274,96.77419,,2,0.00000,-7668.55530,11.29271,0.50723,1.00385,44859.51348,-5362.34972,0.73523,31,-3773.58656,0.80835,37,artifacts\usdjpy_forex_breakout_momentum__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
